Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12833,ADI -HOWRAH,ADI,HWH,00:15:00,13:30:00,2097.0,13h 15m,0h 0m
ROUTE_02,1,11049,ADI-KOP EXPR,ADI,PUNE,19:25:00,07:40:00,623.0,12h 15m,0h 0m
ROUTE_02,2,12221,PA-HWH DURAN,PUNE,HWH,15:15:00,19:40:00,2026.0,4h 25m,7h 35m
ROUTE_03,1,11049,ADI-KOP EXPR,ADI,BH,19:25:00,22:09:00,169.0,2h 44m,0h 0m
ROUTE_03,2,12833,ADI -HOWRAH,BH,HWH,03:11:00,13:30:00,1928.0,10h 19m,5h 2m
ROUTE_04,1,11092,PUNE BHUJ EX,ADI,GIMB,08:05:00,13:05:00,301.0,5h 0m,0h 0m
ROUTE_04,2,12937,GARBHA EXPRE,GIMB,HWH,17:40:00,13:05:00,2509.0,19h 25m,4h 35m
ROUTE_05,1,12215,DEE-BDTS GAR,ADI,RE,01:30:00,10:50:00,874.0,9h 20m,0h 0m
ROUTE_05,2,12372,JSM HWH SF E,RE,HWH,12:55:00,16:30:00,1550.0,3h 35m,2h 5m
ROUTE_06,1,12473,SARVODAYA EX,ADI,MTJ,11:30:00,02:00:00,947.0,14h 30m,0h 0m
ROUTE_06,2,12178,CHAMBAL EXP,MTJ,HWH,04:25:00,06:45:00,1453.0,2h 20m,2h 25m
ROUTE_07,1,12489,BKN DDR SF E,ADI,JU,04:20:00,18:15:00,483.0,13h 55m,0h 0m
ROUTE_07,2,12308,JU-HWH SUPFA,JU,HWH,20:30:00,04:00:00,1805.0,7h 30m,2h 15m
ROUTE_08,1,12655,NAVAJEEVAN E,ADI,BSL,07:35:00,17:25:00,563.0,9h 50m,0h 0m
ROUTE_08,2,12221,PA-HWH DURAN,BSL,HWH,22:45:00,19:40:00,1528.0,20h 55m,5h 20m
ROUTE_09,1,12655,NAVAJEEVAN E,ADI,BSL,07:35:00,17:25:00,563.0,9h 50m,0h 0m
ROUTE_09,2,12261,CSMT-HWH DUR,BSL,HWH,23:05:00,19:40:00,1528.0,20h 35m,5h 40m
ROUTE_10,1,12655,NAVAJEEVAN E,ADI,BZA,07:35:00,08:45:00,1463.0,1h 10m,0h 0m
ROUTE_10,2,12515,TVC - SCL EX,BZA,HWH,13:20:00,10:55:00,1234.0,21h 35m,4h 35m
ROUTE_11,1,12655,NAVAJEEVAN E,ADI,BZA,07:35:00,08:45:00,1463.0,1h 10m,0h 0m
ROUTE_11,2,12864,YPR HOWRAH E,BZA,HWH,09:40:00,06:25:00,1234.0,20h 45m,0h 55m
ROUTE_12,1,12655,NAVAJEEVAN E,ADI,OGL,07:35:00,10:55:00,1601.0,3h 20m,0h 0m
ROUTE_12,2,12507,TVC - SCL EX,OGL,HWH,14:31:00,13:55:00,1373.0,23h 24m,3h 36m
ROUTE_13,1,12655,NAVAJEEVAN E,ADI,OGL,07:35:00,10:55:00,1601.0,3h 20m,0h 0m
ROUTE_13,2,22878,ERS-HWH ANTY,OGL,HWH,16:25:00,14:50:00,1359.0,22h 25m,5h 30m
ROUTE_14,1,12655,NAVAJEEVAN E,ADI,MAS,07:35:00,16:05:00,1893.0,8h 30m,0h 0m
ROUTE_14,2,12840,MAS-HWH MAIL,MAS,HWH,23:45:00,04:00:00,1663.0,4h 15m,7h 40m
ROUTE_15,1,12833,ADI -HOWRAH,ADI,BSP,00:15:00,00:55:00,1375.0,0h 40m,0h 0m
ROUTE_15,2,12859,HWH-CSMT,BSP,HWH,01:30:00,12:30:00,721.0,11h 0m,0h 35m
ROUTE_16,1,12833,ADI -HOWRAH,ADI,BSP,00:15:00,00:55:00,1375.0,0h 40m,0h 0m
ROUTE_16,2,12869,CSMT-HWH WEE,BSP,HWH,08:05:00,19:30:00,721.0,11h 25m,7h 10m
ROUTE_17,1,12833,ADI -HOWRAH,ADI,KGP,00:15:00,11:17:00,1981.0,11h 2m,0h 0m
ROUTE_17,2,22893,SNSI-HWH EXP,KGP,HWH,16:55:00,19:30:00,116.0,2h 35m,5h 38m
ROUTE_18,1,12833,ADI -HOWRAH,ADI,TATA,00:15:00,09:15:00,1843.0,9h 0m,0h 0m
ROUTE_18,2,22511,KARMABHOOMI,TATA,HWH,16:30:00,21:30:00,253.0,5h 0m,7h 15m
ROUTE_19,1,12833,ADI -HOWRAH,ADI,SRC,00:15:00,12:46:00,2089.0,12h 31m,0h 0m
ROUTE_19,2,12872,TIG-HWH ISPA,SRC,HWH,18:16:00,18:50:00,8.0,0h 34m,5h 30m
ROUTE_20,1,12833,ADI -HOWRAH,ADI,BSP,00:15:00,00:55:00,1375.0,0h 40m,0h 0m
ROUTE_20,2,12221,PA-HWH DURAN,BSP,HWH,10:05:00,19:40:00,721.0,9h 35m,9h 10m
ROUTE_21,1,12833,ADI -HOWRAH,ADI,BSP,00:15:00,00:55:00,1375.0,0h 40m,0h 0m
ROUTE_21,2,12261,CSMT-HWH DUR,BSP,HWH,10:05:00,19:40:00,721.0,9h 35m,9h 10m
ROUTE_22,1,12833,ADI -HOWRAH,ADI,KGP,00:15:00,11:17:00,1981.0,11h 2m,0h 0m
ROUTE_22,2,12866,PRR-HWH LALM,KGP,HWH,18:20:00,20:30:00,115.0,2h 10m,7h 3m
ROUTE_23,1,12833,ADI -HOWRAH,ADI,KGP,00:15:00,11:17:00,1981.0,11h 2m,0h 0m
ROUTE_23,2,12503,BNC - KYQ HU,KGP,HWH,16:40:00,18:30:00,116.0,1h 50m,5h 23m
ROUTE_24,1,12833,ADI -HOWRAH,ADI,SRC,00:15:00,12:46:00,2089.0,12h 31m,0h 0m
ROUTE_24,2,12704,SC-HWH FALAK,SRC,HWH,16:56:00,17:45:00,8.0,0h 49m,4h 10m
ROUTE_25,1,12833,ADI -HOWRAH,ADI,SRC,00:15:00,12:46:00,2089.0,12h 31m,0h 0m
ROUTE_25,2,12822,PURI-BBS-HWH,SRC,HWH,19:36:00,20:15:00,7.0,0h 39m,6h 50m
ROUTE_26,1,12833,ADI -HOWRAH,ADI,SRC,00:15:00,12:46:00,2089.0,12h 31m,0h 0m
ROUTE_26,2,12884,PURULIA HWH,SRC,HWH,20:38:00,21:15:00,8.0,0h 37m,7h 52m
