Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
ROUTE_01,FASTEST ⚡,1,12970,JP CBE SF EX,CBE,KOTA,18:00:00,22:55:00,2428.0,2511.72,0.0,0,2511.72,2428.0,0,0.0,100
ROUTE_02,CHEAPEST 💰,1,12257,YPR-KCVL EXP,CBE,PGT,04:00:00,05:10:00,55.0,86.84,0.0,1,3032.99,2389.0,2,33.33,95
ROUTE_02,CHEAPEST 💰,2,22837,HTE ERS DHAR,PGT,ERS,07:55:00,10:55:00,150.0,236.84,165.0,0,3032.99,2389.0,2,33.33,95
ROUTE_02,CHEAPEST 💰,3,12284,NZM-ERS DURO,ERS,KOTA,15:40:00,03:00:00,2184.0,2259.31,285.0,0,3032.99,2389.0,2,33.33,95
ROUTE_03,BEST SEATS 💺,1,16613,RJT CBE WKLY,CBE,ADI,02:00:00,09:40:00,1974.0,2042.07,0.0,1,2953.73,2601.0,2,100.0,95
ROUTE_03,BEST SEATS 💺,2,12473,SARVODAYA EX,ADI,SGZ,11:30:00,20:03:00,497.0,596.4,110.0,1,2953.73,2601.0,2,100.0,95
ROUTE_03,BEST SEATS 💺,3,12473,SARVODAYA EX,SGZ,KOTA,20:05:00,21:40:00,130.0,205.26,0.0,1,2953.73,2601.0,2,100.0,95
ROUTE_04,BALANCED #5 ⚖️,1,22648,TVC KRBA SF,CBE,QLN,15:33:00,07:10:00,358.0,429.6,0.0,0,3033.91,2687.0,1,50.0,100
ROUTE_04,BALANCED #5 ⚖️,2,12483,KCVL EXPRESS,QLN,KOTA,10:25:00,02:55:00,2329.0,2409.31,195.0,1,3033.91,2687.0,1,50.0,100
ROUTE_05,ALTERNATIVE #1 🔄,1,16613,RJT CBE WKLY,CBE,ADI,02:00:00,09:40:00,1974.0,2042.07,0.0,1,3137.29,2600.0,4,80.0,85
ROUTE_05,ALTERNATIVE #1 🔄,2,16613,RJT CBE WKLY,ADI,ND,10:00:00,10:50:00,45.0,71.05,0.0,1,3137.29,2600.0,4,80.0,85
ROUTE_05,ALTERNATIVE #1 🔄,3,16613,RJT CBE WKLY,ND,ANND,10:51:00,11:10:00,19.0,30.0,0.0,0,3137.29,2600.0,4,80.0,85
ROUTE_05,ALTERNATIVE #1 🔄,4,16613,RJT CBE WKLY,ANND,BRC,11:11:00,11:52:00,35.0,55.26,0.0,1,3137.29,2600.0,4,80.0,85
ROUTE_05,ALTERNATIVE #1 🔄,5,12217,KERALA S.KRA,BRC,KOTA,17:56:00,02:55:00,527.0,574.91,364.0,1,3137.29,2600.0,4,80.0,85
ROUTE_06,ALTERNATIVE #2 🔄,1,12258,KCVL-YPR EXP,CBE,ED,01:40:00,03:10:00,100.0,157.89,0.0,0,3283.37,2434.0,3,75.0,90
ROUTE_06,ALTERNATIVE #2 🔄,2,12969,CBE JAIPUR E,ED,UJN,10:50:00,21:25:00,2058.0,2128.97,460.0,1,3283.37,2434.0,3,75.0,90
ROUTE_06,ALTERNATIVE #2 🔄,3,12969,CBE JAIPUR E,UJN,NAD,21:35:00,22:45:00,55.0,86.84,0.0,1,3283.37,2434.0,3,75.0,90
ROUTE_06,ALTERNATIVE #2 🔄,4,12951,MUMBAI RAJDH,NAD,KOTA,01:20:00,03:20:00,221.0,294.67,155.0,1,3283.37,2434.0,3,75.0,90
ROUTE_07,ALTERNATIVE #3 🔄,1,16613,RJT CBE WKLY,CBE,ADI,02:00:00,09:40:00,1974.0,2042.07,0.0,1,3215.15,2600.0,3,100.0,90
ROUTE_07,ALTERNATIVE #3 🔄,2,12473,SARVODAYA EX,ADI,SGZ,11:30:00,20:03:00,497.0,596.4,110.0,1,3215.15,2600.0,3,100.0,90
ROUTE_07,ALTERNATIVE #3 🔄,3,12925,PASCHIM EXPR,SGZ,RMA,00:26:00,01:08:00,57.0,90.0,263.0,1,3215.15,2600.0,3,100.0,90
ROUTE_07,ALTERNATIVE #3 🔄,4,12925,PASCHIM EXPR,RMA,KOTA,01:10:00,02:10:00,72.0,113.68,0.0,1,3215.15,2600.0,3,100.0,90
