Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12262,HWH-CSMT DUR,HWH,CSMT,08:20:00,10:30:00,1979.0,2h 10m,0h 0m
ROUTE_02,1,12321,HWH MUMBAI M,HWH,CSMT,22:00:00,11:25:00,2165.0,13h 25m,0h 0m
ROUTE_03,1,12810,HWH CSMT MAI,HWH,CSMT,20:15:00,05:20:00,1979.0,9h 5m,0h 0m
ROUTE_04,1,12860,HWH-CSMT GEE,HWH,CSMT,13:50:00,21:20:00,1979.0,7h 30m,0h 0m
ROUTE_05,1,12870,HWH-CSTM WEE,HWH,CSMT,14:35:00,23:15:00,1979.0,8h 40m,0h 0m
ROUTE_06,1,11448,SHAKTIPUNJ E,HWH,JBP,13:10:00,14:25:00,1155.0,1h 15m,0h 0m
ROUTE_06,2,11094,MAHANAGARI E,JBP,CSMT,21:20:00,14:15:00,996.0,16h 55m,6h 55m
ROUTE_07,1,11448,SHAKTIPUNJ E,HWH,JBP,13:10:00,14:25:00,1155.0,1h 15m,0h 0m
ROUTE_07,2,12187,MUMBAI GARIB,JBP,CSMT,19:30:00,12:15:00,996.0,16h 45m,5h 5m
ROUTE_08,1,11448,SHAKTIPUNJ E,HWH,DGR,13:10:00,15:11:00,157.0,2h 1m,0h 0m
ROUTE_08,2,12321,HWH MUMBAI M,DGR,CSMT,00:07:00,11:25:00,2008.0,11h 18m,8h 56m
ROUTE_09,1,11448,SHAKTIPUNJ E,HWH,ASN,13:10:00,15:51:00,199.0,2h 41m,0h 0m
ROUTE_09,2,12361,ASN CSMT EXP,ASN,CSMT,19:45:00,06:15:00,2043.0,10h 30m,3h 54m
ROUTE_10,1,12021,HOWRAH-BARAB,HWH,KGP,06:20:00,08:00:00,116.0,1h 40m,0h 0m
ROUTE_10,2,12860,HWH-CSMT GEE,KGP,CSMT,15:35:00,21:20:00,1863.0,5h 45m,7h 35m
ROUTE_11,1,12021,HOWRAH-BARAB,HWH,TATA,06:20:00,09:55:00,254.0,3h 35m,0h 0m
ROUTE_11,2,12262,HWH-CSMT DUR,TATA,CSMT,11:48:00,10:30:00,1725.0,22h 42m,1h 53m
ROUTE_12,1,12023,HOWRAH PATNA,HWH,CRJ,14:05:00,17:06:00,224.0,3h 1m,0h 0m
ROUTE_12,2,12361,ASN CSMT EXP,CRJ,CSMT,20:10:00,06:15:00,2019.0,10h 5m,3h 4m
ROUTE_13,1,12101,JNANESWARI D,HWH,KYN,03:35:00,21:15:00,1919.0,17h 40m,0h 0m
ROUTE_13,2,11020,KONARK EXPRE,KYN,CSMT,02:40:00,03:55:00,53.0,1h 15m,5h 25m
ROUTE_14,1,12101,JNANESWARI D,HWH,KYN,03:35:00,21:15:00,1919.0,17h 40m,0h 0m
ROUTE_14,2,11028,MAS-CSMT MUM,KYN,CSMT,02:30:00,03:45:00,53.0,1h 15m,5h 15m
ROUTE_15,1,12101,JNANESWARI D,HWH,KYN,03:35:00,21:15:00,1919.0,17h 40m,0h 0m
