Route ID,Segment,Type,Segment ID,Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Cost
ROUTE_01,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_01,2,train,12182_1,AII-JBP DAYO,SWM,KOTA,19:55:00,19:45:00,108.0,1h 25m,0h 45m,895
ROUTE_02,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_02,2,train,12472_1,SWARAJ EXPRE,SWM,KOTA,02:29:00,02:27:00,108.0,1h 16m,7h 19m,3109
ROUTE_03,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_03,2,train,12474_1,SARVODAYA EX,SWM,KOTA,02:29:00,02:27:00,108.0,1h 16m,7h 19m,3109
ROUTE_04,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_04,2,train,12476_1,SARVODAYA EX,SWM,KOTA,02:29:00,02:27:00,108.0,1h 16m,7h 19m,3109
ROUTE_05,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_05,2,train,12478_1,SVDK- JAMNAG,SWM,KOTA,02:29:00,02:27:00,108.0,1h 16m,7h 19m,3109
ROUTE_06,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_06,2,train,12926_1,PASCHIM EXPR,SWM,KOTA,22:05:00,22:00:00,107.0,1h 25m,2h 55m,2491
ROUTE_07,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_07,2,train,12954_1,AG KRANTI RJ,SWM,KOTA,20:38:00,20:36:00,108.0,1h 2m,1h 28m,1126
ROUTE_08,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_08,2,train,12963_1,MEWAR EXPRES,SWM,KOTA,23:58:00,23:56:00,108.0,1h 12m,4h 48m,1126
ROUTE_09,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_09,2,train,12968_1,JP CHENNAI E,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,493
ROUTE_10,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_10,2,train,12970_1,JP CBE SF EX,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,493
