Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12976,JP MYS SF EX,JP,SBC,19:35:00,12:50:00,2345.0,17h 15m,0h 0m
ROUTE_02,1,11203,NAGPUR JAIPU,JP,PAR,14:05:00,13:22:00,1237.0,23h 17m,0h 0m
ROUTE_02,2,12296,PNBE-SBC SAN,PAR,SBC,15:55:00,20:20:00,1553.0,4h 25m,2h 33m
ROUTE_03,1,11203,NAGPUR JAIPU,JP,PAR,14:05:00,13:22:00,1237.0,23h 17m,0h 0m
ROUTE_03,2,12577,BAGMATI EXP,PAR,SBC,16:23:00,20:40:00,1553.0,4h 17m,3h 1m
ROUTE_04,1,11203,NAGPUR JAIPU,JP,ET,14:05:00,16:45:00,1043.0,2h 40m,0h 0m
ROUTE_04,2,16229,MYS-BSB BI-W,ET,SBC,21:35:00,09:55:00,1795.0,12h 20m,4h 50m
ROUTE_05,1,12181,JBP-AII DAYO,JP,KTE,12:00:00,21:30:00,799.0,9h 30m,0h 0m
ROUTE_05,2,12578,BAGMATI  EXP,KTE,SBC,23:10:00,09:55:00,2088.0,10h 45m,1h 40m
ROUTE_06,1,12181,JBP-AII DAYO,JP,KTE,12:00:00,21:30:00,799.0,9h 30m,0h 0m
ROUTE_06,2,16229,MYS-BSB BI-W,KTE,SBC,02:40:00,09:55:00,2130.0,7h 15m,5h 10m
ROUTE_07,1,12182,AII-JBP DAYO,JP,DPA,17:35:00,17:41:00,7.0,0h 6m,0h 0m
ROUTE_07,2,12976,JP MYS SF EX,DPA,SBC,19:44:00,12:50:00,2338.0,17h 6m,2h 2m
ROUTE_08,1,12216,BDTS-DEE GAR,JP,BH,07:20:00,16:39:00,816.0,9h 19m,0h 0m
ROUTE_08,2,16209,AII MYS EXPR,BH,SBC,17:42:00,03:15:00,1479.0,9h 33m,1h 3m
ROUTE_09,1,12216,BDTS-DEE GAR,JP,BH,07:20:00,16:39:00,816.0,9h 19m,0h 0m
ROUTE_09,2,16507,JU BANGLORE,BH,SBC,17:42:00,03:15:00,1479.0,9h 33m,1h 3m
ROUTE_10,1,12216,BDTS-DEE GAR,JP,ST,07:20:00,15:55:00,875.0,8h 35m,0h 0m
ROUTE_10,2,16531,GARIB NAWAJ,ST,SBC,19:15:00,04:45:00,1494.0,9h 30m,3h 20m
ROUTE_11,1,12315,ANNANYA  EXP,JP,MGS,17:45:00,01:47:00,944.0,8h 2m,0h 0m
ROUTE_11,2,12578,BAGMATI  EXP,MGS,SBC,06:23:00,09:55:00,2507.0,3h 32m,4h 36m
ROUTE_12,1,12395,ZIYARAT EXPR,JP,DNR,13:10:00,19:23:00,1141.0,6h 13m,0h 0m
ROUTE_12,2,12296,PNBE-SBC SAN,DNR,SBC,20:10:00,20:20:00,2697.0,0h 10m,0h 47m
ROUTE_13,1,12547,AF-ADI SUPER,JP,MJ,02:20:00,06:46:00,275.0,4h 26m,0h 0m
ROUTE_13,2,16209,AII MYS EXPR,MJ,SBC,07:40:00,03:15:00,2001.0,19h 35m,0h 54m
ROUTE_14,1,12547,AF-ADI SUPER,JP,MJ,02:20:00,06:46:00,275.0,4h 26m,0h 0m
ROUTE_14,2,16531,GARIB NAWAJ,MJ,SBC,07:40:00,04:45:00,2074.0,21h 5m,0h 54m
ROUTE_15,1,12547,AF-ADI SUPER,JP,MJ,02:20:00,06:46:00,275.0,4h 26m,0h 0m
ROUTE_15,2,16533,JU-YPR,MJ,SBC,07:40:00,04:45:00,2074.0,21h 5m,0h 54m
ROUTE_16,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_16,2,16210,AJMER EXPRES,BSR,SBC,22:55:00,21:30:00,1208.0,22h 35m,3h 5m
ROUTE_17,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_17,2,16209,AII MYS EXPR,BSR,SBC,23:45:00,03:15:00,1206.0,3h 30m,3h 55m
ROUTE_18,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_18,2,16505,GIMB SBC EXP,BSR,SBC,23:45:00,03:15:00,1205.0,3h 30m,3h 55m
ROUTE_19,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_19,2,16507,JU BANGLORE,BSR,SBC,23:45:00,03:15:00,1205.0,3h 30m,3h 55m
ROUTE_20,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_20,2,16531,GARIB NAWAJ,BSR,SBC,23:45:00,04:45:00,1279.0,5h 0m,3h 55m
ROUTE_21,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m
ROUTE_21,2,16533,JU-YPR,BSR,SBC,23:45:00,04:45:00,1279.0,5h 0m,3h 55m
ROUTE_22,1,12940,JP PUNE SF E,JP,PUNE,09:15:00,08:05:00,1290.0,22h 50m,0h 0m
ROUTE_22,2,11014,LOKMANYA TT,PUNE,SBC,10:45:00,15:45:00,963.0,5h 0m,2h 40m
ROUTE_23,1,12967,JAIPUR EXP,JP,BZA,06:15:00,00:10:00,1750.0,17h 55m,0h 0m
ROUTE_23,2,12296,PNBE-SBC SAN,BZA,SBC,06:25:00,20:20:00,791.0,13h 55m,6h 15m
ROUTE_24,1,12967,JAIPUR EXP,JP,BZA,06:15:00,00:10:00,1750.0,17h 55m,0h 0m
ROUTE_24,2,12577,BAGMATI EXP,BZA,SBC,07:30:00,20:40:00,790.0,13h 10m,7h 20m
ROUTE_25,1,12968,JP CHENNAI E,JP,MAS,19:35:00,09:45:00,2174.0,14h 10m,0h 0m
ROUTE_25,2,12296,PNBE-SBC SAN,MAS,SBC,13:55:00,20:20:00,361.0,6h 25m,4h 10m
ROUTE_26,1,12968,JP CHENNAI E,JP,GDR,19:35:00,06:31:00,2037.0,10h 56m,0h 0m
ROUTE_26,2,12577,BAGMATI EXP,GDR,SBC,12:00:00,20:40:00,498.0,8h 40m,5h 29m
ROUTE_27,1,12968,JP CHENNAI E,JP,MAS,19:35:00,09:45:00,2174.0,14h 10m,0h 0m
ROUTE_27,2,12027,MAS-SBC SHAT,MAS,SBC,17:30:00,22:30:00,360.0,5h 0m,7h 45m
ROUTE_28,1,12968,JP CHENNAI E,JP,MAS,19:35:00,09:45:00,2174.0,14h 10m,0h 0m
ROUTE_28,2,12607,MAS-SBC LALB,MAS,SBC,15:35:00,21:35:00,360.0,6h 0m,5h 50m
ROUTE_29,1,12968,JP CHENNAI E,JP,MAS,19:35:00,09:45:00,2174.0,14h 10m,0h 0m
ROUTE_29,2,12609,MAS-SBC EXP,MAS,SBC,13:35:00,20:05:00,360.0,6h 30m,3h 50m
ROUTE_30,1,12969,CBE JAIPUR E,JP,SA,06:15:00,11:45:00,2514.0,5h 30m,0h 0m
ROUTE_30,2,56513,NCR-SBC PASS,SA,SBC,13:25:00,19:00:00,216.0,5h 35m,1h 40m
ROUTE_31,1,12969,CBE JAIPUR E,JP,KPD,06:15:00,14:50:00,2309.0,8h 35m,0h 0m
ROUTE_31,2,12296,PNBE-SBC SAN,KPD,SBC,15:45:00,20:20:00,232.0,4h 35m,0h 55m
ROUTE_32,1,12969,CBE JAIPUR E,JP,KPD,06:15:00,14:50:00,2309.0,8h 35m,0h 0m
ROUTE_32,2,12577,BAGMATI EXP,KPD,SBC,16:15:00,20:40:00,231.0,4h 25m,1h 25m
ROUTE_33,1,12969,CBE JAIPUR E,JP,JTJ,06:15:00,13:38:00,2393.0,7h 23m,0h 0m
ROUTE_33,2,12609,MAS-SBC EXP,JTJ,SBC,17:15:00,20:05:00,148.0,2h 50m,3h 37m
ROUTE_34,1,12969,CBE JAIPUR E,JP,JTJ,06:15:00,13:38:00,2393.0,7h 23m,0h 0m
ROUTE_34,2,56261,AJJ-SBC PASS,JTJ,SBC,14:10:00,18:45:00,146.0,4h 35m,0h 32m
ROUTE_35,1,12969,CBE JAIPUR E,JP,KPD,06:15:00,14:50:00,2309.0,8h 35m,0h 0m
ROUTE_35,2,12027,MAS-SBC SHAT,KPD,SBC,19:10:00,22:30:00,232.0,3h 20m,4h 20m
ROUTE_36,1,12969,CBE JAIPUR E,JP,KPD,06:15:00,14:50:00,2309.0,8h 35m,0h 0m
ROUTE_36,2,22618,TPTY-SBC  EX,KPD,SBC,16:35:00,20:40:00,232.0,4h 4m,1h 45m
ROUTE_37,1,12969,CBE JAIPUR E,JP,KPD,06:15:00,14:50:00,2309.0,8h 35m,0h 0m
ROUTE_37,2,22817,HWH-MYS SF E,KPD,SBC,20:25:00,00:30:00,231.0,4h 4m,5h 35m
ROUTE_38,1,12970,JP CBE SF EX,JP,ED,19:35:00,15:55:00,2567.0,20h 20m,0h 0m
ROUTE_38,2,16231,MV-MYSORE  E,ED,SBC,23:40:00,05:50:00,276.0,6h 10m,7h 45m
ROUTE_39,1,12970,JP CBE SF EX,JP,CBE,19:35:00,18:00:00,2667.0,22h 25m,0h 0m
ROUTE_39,2,16525,CAPE-SBC EXP,CBE,SBC,22:55:00,07:20:00,426.0,8h 24m,4h 55m
ROUTE_40,1,12970,JP CBE SF EX,JP,CBE,19:35:00,18:00:00,2667.0,22h 25m,0h 0m
ROUTE_40,2,16316,KCVL-SBC EXP,CBE,SBC,01:00:00,08:35:00,426.0,7h 35m,7h 0m
ROUTE_41,1,12975,MYS JP SF EX,JP,HUP,00:00:00,15:04:00,2235.0,15h 4m,0h 0m
ROUTE_41,2,11013,COIMBATORE E,HUP,SBC,18:20:00,21:50:00,110.0,3h 30m,3h 16m
ROUTE_42,1,12975,MYS JP SF EX,JP,HUP,00:00:00,15:04:00,2235.0,15h 4m,0h 0m
ROUTE_42,2,11014,LOKMANYA TT,HUP,SBC,18:10:00,15:45:00,110.0,21h 35m,3h 6m
ROUTE_43,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_43,2,17307,MYS-BGK BASA,GTL,SBC,23:20:00,16:30:00,271.0,17h 10m,4h 4m
ROUTE_44,1,12975,MYS JP SF EX,JP,HUP,00:00:00,15:04:00,2235.0,15h 4m,0h 0m
ROUTE_44,2,16218,SNSI-MYS EXP,HUP,SBC,00:15:00,03:15:00,110.0,3h 0m,9h 11m
ROUTE_45,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_45,2,16531,GARIB NAWAJ,GTL,SBC,22:20:00,04:45:00,283.0,6h 25m,3h 5m
ROUTE_46,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_46,2,16533,JU-YPR,GTL,SBC,22:20:00,04:45:00,283.0,6h 25m,3h 5m
ROUTE_47,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_47,2,16593,NED-SBC-EXP,GTL,SBC,21:20:00,05:30:00,301.0,8h 9m,2h 5m
ROUTE_48,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_48,2,16591,UBL-MYS HAMP,GTL,SBC,23:35:00,06:05:00,272.0,6h 30m,4h 20m
ROUTE_49,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_49,2,11301,UDYAN EXPRES,GTL,SBC,23:45:00,08:50:00,320.0,9h 5m,4h 30m
ROUTE_50,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_50,2,17308,BGK-MYS BASA,GTL,SBC,02:40:00,10:45:00,271.0,8h 5m,7h 25m
ROUTE_51,1,12975,MYS JP SF EX,JP,GTL,00:00:00,19:15:00,2037.0,19h 15m,0h 0m
ROUTE_51,2,22692,BANGALORE RA,GTL,SBC,00:50:00,06:40:00,301.0,5h 50m,5h 35m
ROUTE_52,1,12975,MYS JP SF EX,JP,DHNE,00:00:00,20:45:00,1970.0,20h 45m,0h 0m
ROUTE_52,2,18463,BBS-SBC PRAS,DHNE,SBC,03:10:00,12:05:00,388.0,8h 55m,6h 25m
ROUTE_53,1,12976,JP MYS SF EX,JP,KCG,19:35:00,23:40:00,1679.0,4h 4m,0h 0m
ROUTE_53,2,12975,MYS JP SF EX,KCG,SBC,02:10:00,12:45:00,665.0,10h 35m,2h 30m
ROUTE_54,1,12976,JP MYS SF EX,JP,BNC,19:35:00,12:18:00,2340.0,16h 42m,0h 0m
ROUTE_54,2,12296,PNBE-SBC SAN,BNC,SBC,20:00:00,20:20:00,5.0,0h 20m,7h 42m
ROUTE_55,1,12976,JP MYS SF EX,JP,BNC,19:35:00,12:18:00,2340.0,16h 42m,0h 0m
ROUTE_55,2,12577,BAGMATI EXP,BNC,SBC,20:10:00,20:40:00,4.0,0h 30m,7h 52m
ROUTE_56,1,12976,JP MYS SF EX,JP,BNC,19:35:00,12:18:00,2340.0,16h 42m,0h 0m
