Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,12395,ZIYARAT EXPR,JP,DNR,13:10:00,19:23:00,1141.0,6h 13m,0h 0m,1,430.0,3838.0,1,100.0,100.0
OPT_ROUTE_01,FASTEST ⚡,2,12296,PNBE-SBC SAN,DNR,SBC,20:10:00,20:20:00,2697.0,0h 10m,0h 47m,1,430.0,3838.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,1,12940,JP PUNE SF E,JP,PUNE,09:15:00,08:05:00,1290.0,22h 50m,0h 0m,1,1830.0,2253.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,2,11014,LOKMANYA TT,PUNE,SBC,10:45:00,15:45:00,963.0,5h 0m,2h 40m,1,1830.0,2253.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m,1,815.0,2315.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,2,16505,GIMB SBC EXP,BSR,SBC,23:45:00,03:15:00,1205.0,3h 30m,3h 55m,0,815.0,2315.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,1,12939,PUNE JAIPUR,JP,BSR,13:40:00,19:50:00,1110.0,6h 10m,0h 0m,1,815.0,2315.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,2,16507,JU BANGLORE,BSR,SBC,23:45:00,03:15:00,1205.0,3h 30m,3h 55m,1,815.0,2315.0,1,100.0,100.0
OPT_ROUTE_05,BALANCED ⚖️,1,12969,CBE JAIPUR E,JP,JTJ,06:15:00,13:38:00,2393.0,7h 23m,0h 0m,1,750.0,2539.0,1,100.0,100.0
OPT_ROUTE_05,BALANCED ⚖️,2,56261,AJJ-SBC PASS,JTJ,SBC,14:10:00,18:45:00,146.0,4h 35m,0h 32m,0,750.0,2539.0,1,100.0,100.0
OPT_ROUTE_06,BALANCED ⚖️,1,12976,JP MYS SF EX,JP,SBC,19:35:00,12:50:00,2345.0,17h 15m,0h 0m,1,1035.0,2345.0,0,100.0,100.0
OPT_ROUTE_07,BALANCED ⚖️,1,12547,AF-ADI SUPER,JP,ABR,02:20:00,09:15:00,440.0,6h 55m,0h 0m,1,1150.0,2278.0,1,100.0,100.0
OPT_ROUTE_07,BALANCED ⚖️,2,16210,AJMER EXPRES,ABR,SBC,11:55:00,21:30:00,1838.0,9h 35m,2h 40m,1,1150.0,2278.0,1,100.0,100.0
