Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,MOST DIRECT 🚂,1,12232,CDG - LKO EX,LKO,UMB,08:50:00,21:50:00,599.0,10h 53m,0h 0m,1,5186.35,4373.0,2,100.0,95
OPT_ROUTE_01,MOST DIRECT 🚂,2,12312,KLK DLI HWH,UMB,HWH,02:20:00,07:55:00,1631.0,27h 11m,4h 30m,1,5186.35,4373.0,2,100.0,95
OPT_ROUTE_01,MOST DIRECT 🚂,3,22878,ERS-HWH ANTY,HWH,PGT,14:50:00,03:07:00,2143.0,36h 56m,6h 55m,1,5186.35,4373.0,2,100.0,95
OPT_ROUTE_02,FAST #1 ⚡,1,12236,NDLS-GHY RAJ,LKO,BSB,17:35:00,22:15:00,276.0,6h 8m,0h 0m,1,3319.74,2888.0,2,66.67,95
OPT_ROUTE_02,FAST #1 ⚡,2,12561,SWATANTRTA S,BSB,GYN,00:40:00,01:38:00,60.0,1h 34m,2h 25m,0,3319.74,2888.0,2,66.67,95
OPT_ROUTE_02,FAST #1 ⚡,3,16359,ERS PATNA EX,GYN,PGT,02:50:00,02:00:00,2552.0,44h 0m,1h 12m,1,3319.74,2888.0,2,66.67,95
OPT_ROUTE_03,FAST #8 ⚡,1,12540,LKO-YPR EXPR,LKO,NGP,20:00:00,16:40:00,1146.0,19h 6m,0h 0m,1,4422.84,3018.0,3,100.0,90
OPT_ROUTE_03,FAST #8 ⚡,2,12645,ERS-NZM MILL,NGP,AWY,00:30:00,19:23:00,1703.0,28h 23m,7h 50m,1,4422.84,3018.0,3,100.0,90
OPT_ROUTE_03,FAST #8 ⚡,3,12978,MARU SAGAR E,AWY,ERS,02:25:00,03:20:00,19.0,0h 30m,7h 2m,1,4422.84,3018.0,3,100.0,90
OPT_ROUTE_03,FAST #8 ⚡,4,12522,RAPTI SAGAR,ERS,PGT,10:15:00,14:00:00,150.0,3h 56m,6h 55m,1,4422.84,3018.0,3,100.0,90
OPT_ROUTE_04,FAST #2 ⚡,1,22121,LTT-LKO AC S,LKO,TNA,13:45:00,14:43:00,1394.0,23h 14m,0h 0m,1,3690.74,2924.0,3,75.0,90
OPT_ROUTE_04,FAST #2 ⚡,2,22629,DADAR TEN EX,TNA,ED,21:05:00,21:25:00,1375.0,22h 55m,6h 22m,1,3690.74,2924.0,3,75.0,90
OPT_ROUTE_04,FAST #2 ⚡,3,12257,YPR-KCVL EXP,ED,CBE,02:20:00,03:57:00,100.0,2h 37m,4h 55m,0,3690.74,2924.0,3,75.0,90
OPT_ROUTE_04,FAST #2 ⚡,4,12257,YPR-KCVL EXP,CBE,PGT,04:00:00,05:10:00,55.0,1h 26m,0h 0m,1,3690.74,2924.0,3,75.0,90
OPT_ROUTE_05,FAST #6 ⚡,1,22121,LTT-LKO AC S,LKO,TNA,13:45:00,14:43:00,1394.0,23h 14m,0h 0m,1,4052.16,2923.0,3,75.0,90
OPT_ROUTE_05,FAST #6 ⚡,2,22629,DADAR TEN EX,TNA,ED,21:05:00,21:25:00,1375.0,22h 55m,6h 22m,1,4052.16,2923.0,3,75.0,90
OPT_ROUTE_05,FAST #6 ⚡,3,12257,YPR-KCVL EXP,ED,CBE,02:20:00,03:57:00,100.0,2h 37m,4h 55m,0,4052.16,2923.0,3,75.0,90
OPT_ROUTE_05,FAST #6 ⚡,4,16318,SVDK-CAPE HI,CBE,PGT,10:00:00,11:05:00,54.0,1h 25m,6h 3m,1,4052.16,2923.0,3,75.0,90
OPT_ROUTE_06,FAST #5 ⚡,1,19402,LKO ADI EXP,LKO,MTJ,22:55:00,07:10:00,424.0,8h 28m,0h 0m,1,3862.18,2864.0,5,83.33,80
OPT_ROUTE_06,FAST #5 ⚡,2,22654,NZM-TVC WKLY,MTJ,CAN,12:15:00,03:15:00,2221.0,38h 17m,5h 5m,0,3862.18,2864.0,5,83.33,80
OPT_ROUTE_06,FAST #5 ⚡,3,22654,NZM-TVC WKLY,CAN,CLT,03:20:00,04:40:00,89.0,2h 20m,0h 0m,1,3862.18,2864.0,5,83.33,80
OPT_ROUTE_06,FAST #5 ⚡,4,22654,NZM-TVC WKLY,CLT,SRR,04:45:00,06:25:00,86.0,2h 15m,0h 0m,1,3862.18,2864.0,5,83.33,80
OPT_ROUTE_06,FAST #5 ⚡,5,12512,RAPTISAGAR E,SRR,OTP,13:10:00,13:28:00,13.0,0h 20m,6h 45m,1,3862.18,2864.0,5,83.33,80
OPT_ROUTE_06,FAST #5 ⚡,6,12512,RAPTISAGAR E,OTP,PGT,13:30:00,14:00:00,31.0,0h 48m,0h 0m,1,3862.18,2864.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,1,19402,LKO ADI EXP,LKO,MTJ,22:55:00,07:10:00,424.0,8h 28m,0h 0m,1,3736.39,2930.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,2,22654,NZM-TVC WKLY,MTJ,CAN,12:15:00,03:15:00,2221.0,38h 17m,5h 5m,0,3736.39,2930.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,3,22654,NZM-TVC WKLY,CAN,CLT,03:20:00,04:40:00,89.0,2h 20m,0h 0m,1,3736.39,2930.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,4,22654,NZM-TVC WKLY,CLT,SRR,04:45:00,06:25:00,86.0,2h 15m,0h 0m,1,3736.39,2930.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,5,22654,NZM-TVC WKLY,SRR,TCR,06:35:00,07:27:00,34.0,0h 53m,0h 0m,1,3736.39,2930.0,5,83.33,80
OPT_ROUTE_07,FAST #4 ⚡,6,12678,ERS-SBC INTE,TCR,PGT,10:22:00,11:37:00,76.0,2h 0m,2h 55m,1,3736.39,2930.0,5,83.33,80
OPT_ROUTE_08,FAST #3 ⚡,1,19402,LKO ADI EXP,LKO,MTJ,22:55:00,07:10:00,424.0,8h 28m,0h 0m,1,3707.39,2930.0,5,83.33,75
OPT_ROUTE_08,FAST #3 ⚡,2,22654,NZM-TVC WKLY,MTJ,CAN,12:15:00,03:15:00,2221.0,38h 17m,5h 5m,0,3707.39,2930.0,5,83.33,75
OPT_ROUTE_08,FAST #3 ⚡,3,22654,NZM-TVC WKLY,CAN,CLT,03:20:00,04:40:00,89.0,2h 20m,0h 0m,1,3707.39,2930.0,5,83.33,75
OPT_ROUTE_08,FAST #3 ⚡,4,22654,NZM-TVC WKLY,CLT,SRR,04:45:00,06:25:00,86.0,2h 15m,0h 0m,1,3707.39,2930.0,5,83.33,75
OPT_ROUTE_08,FAST #3 ⚡,5,22654,NZM-TVC WKLY,SRR,TCR,06:35:00,07:27:00,34.0,0h 53m,0h 0m,1,3707.39,2930.0,5,83.33,75
OPT_ROUTE_08,FAST #3 ⚡,6,22816,ERS - BSP SF,TCR,PGT,09:53:00,12:05:00,76.0,2h 0m,2h 26m,1,3707.39,2930.0,5,83.33,75
OPT_ROUTE_09,FASTEST ⚡,1,22121,LTT-LKO AC S,LKO,TNA,13:45:00,14:43:00,1394.0,23h 14m,0h 0m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,2,12619,MATSYAGANDHA,TNA,BKJ,15:45:00,05:22:00,792.0,14h 24m,1h 2m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,3,12619,MATSYAGANDHA,BKJ,UD,05:24:00,05:38:00,17.0,0h 26m,0h 0m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,4,12619,MATSYAGANDHA,UD,MULK,05:40:00,06:06:00,32.0,0h 50m,0h 0m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,5,12619,MATSYAGANDHA,MULK,SL,06:08:00,06:22:00,9.0,0h 14m,0h 0m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,6,12619,MATSYAGANDHA,SL,MAQ,06:24:00,07:30:00,26.0,0h 41m,0h 0m,0,3253.83,2621.0,6,85.71,75
OPT_ROUTE_09,FASTEST ⚡,7,22610,CBE-MAQ INTE,MAQ,PGT,13:50:00,07:40:00,351.0,7h 1m,6h 20m,1,3253.83,2621.0,6,85.71,75
OPT_ROUTE_10,FAST #7 ⚡,1,12204,GRIB RATH,LKO,GKP,18:50:00,00:05:00,271.0,6h 1m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,2,12204,GRIB RATH,GKP,DEOS,00:15:00,01:00:00,49.0,1h 17m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,3,15028,MAURYA EXPRE,DEOS,KMME,08:20:00,00:58:00,591.0,10h 44m,7h 20m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,4,15028,MAURYA EXPRE,KMME,DHN,01:00:00,02:32:00,39.0,1h 1m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,5,15028,MAURYA EXPRE,DHN,TET,02:37:00,02:46:00,9.0,0h 14m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,6,15028,MAURYA EXPRE,TET,GMO,02:48:00,03:20:00,20.0,0h 31m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,7,15028,MAURYA EXPRE,GMO,CRP,03:40:00,04:28:00,17.0,0h 26m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,8,15028,MAURYA EXPRE,CRP,BKSC,04:30:00,05:00:00,15.0,0h 23m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,9,15028,MAURYA EXPRE,BKSC,KSX,05:10:00,05:38:00,28.0,0h 44m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,10,15028,MAURYA EXPRE,KSX,JAA,05:40:00,05:52:00,12.0,0h 18m,0h 0m,1,4161.23,3279.0,12,92.31,55
OPT_ROUTE_10,FAST #7 ⚡,11,15028,MAURYA EXPRE,JAA,MURI,05:53:00,06:15:00,12.0,0h 18m,0h 0m,0,4161.23,3279.0,12,92.31,55
