Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
ROUTE_01,FASTEST ⚡,1,12695,MAS - TVC SU,MAS,PGT,15:25:00,00:27:00,545.0,594.55,0.0,1,594.55,545.0,0,100.0,100
ROUTE_02,CHEAPEST 💰,1,12601,MANGALORE MA,MAS,PTJ,20:20:00,03:28:00,484.0,580.8,0.0,0,658.17,533.0,1,0.0,100
ROUTE_02,CHEAPEST 💰,2,12601,MANGALORE MA,PTJ,PGT,03:30:00,04:30:00,49.0,77.37,0.0,0,658.17,533.0,1,0.0,100
ROUTE_03,FAST #2 ⚡,1,22639,ALLEPPEY EXP,MAS,PGT,20:55:00,05:30:00,545.0,594.55,0.0,1,594.55,545.0,0,100.0,100
ROUTE_04,CHEAP #2 💰,1,12601,MANGALORE MA,MAS,PTJ,20:20:00,03:28:00,484.0,580.8,0.0,0,1055.54,544.0,2,66.67,95
ROUTE_04,CHEAP #2 💰,2,22638,WEST COAST E,PTJ,CBE,06:20:00,06:32:00,6.0,9.47,172.0,1,1055.54,544.0,2,66.67,95
ROUTE_04,CHEAP #2 💰,3,16318,SVDK-CAPE HI,CBE,PGT,10:00:00,11:05:00,54.0,85.26,208.0,1,1055.54,544.0,2,66.67,95
ROUTE_05,CHEAP #3 💰,1,22637,WEST COAST E,MAS,SGE,12:05:00,17:43:00,369.0,442.8,0.0,0,927.12,544.0,3,75.0,85
ROUTE_05,CHEAP #3 💰,2,22637,WEST COAST E,SGE,ED,17:45:00,18:10:00,21.0,33.16,0.0,1,927.12,544.0,3,75.0,85
ROUTE_05,CHEAP #3 💰,3,66608,PGTN-ED MEMU,ED,KJKD,19:05:00,15:02:00,141.0,222.63,55.0,1,927.12,544.0,3,75.0,85
ROUTE_05,CHEAP #3 💰,4,56605,CBE-TCR PASS,KJKD,PGT,17:35:00,17:50:00,13.0,20.53,153.0,1,927.12,544.0,3,75.0,85
