Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Live Seat Availability,Live Fare (₹)
ROUTE_01,1,12218,KERALA S.KRA,NDLS,KOTA,13:40:00,19:45:00,457.0,6h 5m,0h 0m,UNKNOWN,0.0
ROUTE_02,1,12449,GOA SMPRK K,NDLS,KOTA,18:25:00,10:00:00,455.0,15h 35m,0h 0m,UNKNOWN,0.0
ROUTE_03,1,12450,GOA SMPRK KR,NDLS,KOTA,06:15:00,13:10:00,457.0,6h 55m,0h 0m,UNKNOWN,0.0
ROUTE_04,1,12472,SWARAJ EXPRE,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,UNKNOWN,0.0
ROUTE_05,1,12474,SARVODAYA EX,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,UNKNOWN,0.0
ROUTE_06,1,12476,SARVODAYA EX,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,UNKNOWN,0.0
ROUTE_07,1,12478,SVDK- JAMNAG,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,UNKNOWN,0.0
ROUTE_08,1,12484,KCVL EXPRESS,NDLS,KOTA,13:40:00,19:40:00,457.0,6h 0m,0h 0m,UNKNOWN,0.0
ROUTE_09,1,12926,PASCHIM EXPR,NDLS,KOTA,16:45:00,23:30:00,457.0,6h 45m,0h 0m,UNKNOWN,0.0
ROUTE_10,1,12952,MUMBAI RAJDH,NDLS,KOTA,16:25:00,21:00:00,457.0,4h 35m,0h 0m,UNKNOWN,0.0
ROUTE_11,1,19024,FZR BCT JANT,NDLS,KOTA,13:30:00,23:15:00,457.0,9h 45m,0h 0m,UNKNOWN,0.0
ROUTE_12,1,19804,SVDK-KOTA WE,NDLS,KOTA,14:15:00,23:50:00,457.0,9h 35m,0h 0m,UNKNOWN,0.0
ROUTE_13,1,19806,UHP-KOTA WEE,NDLS,KOTA,03:40:00,11:10:00,457.0,7h 30m,0h 0m,UNKNOWN,0.0
ROUTE_14,1,22210,BCT DURONTO,NDLS,KOTA,23:25:00,04:15:00,457.0,4h 50m,0h 0m,UNKNOWN,0.0
ROUTE_15,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m,UNKNOWN,0.0
ROUTE_15,2,12926,PASCHIM EXPR,UMB,KOTA,13:05:00,23:30:00,655.0,10h 25m,3h 45m,UNKNOWN,0.0
ROUTE_16,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m,UNKNOWN,0.0
