Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_01,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,9h 36m,4h 53m
ROUTE_02,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_02,2,12449,GOA SMPRK K,BRC,KOTA,02:21:00,10:00:00,527.0,9h 34m,6h 50m
ROUTE_03,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_03,2,12907,BDTS SMPRK K,BRC,KOTA,23:12:00,06:20:00,527.0,9h 34m,3h 41m
ROUTE_04,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_04,2,22413,MAO-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,527.0,9h 34m,4h 53m
ROUTE_05,1,22837,HTE ERS DHAR,PGT,ERS,07:55:00,10:55:00,150.0,3h 56m,0h 0m
ROUTE_05,2,12284,NZM-ERS DURO,ERS,KOTA,15:40:00,03:00:00,2184.0,37h 39m,4h 45m
ROUTE_06,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_06,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,9h 36m,4h 53m
ROUTE_07,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_07,2,12449,GOA SMPRK K,BRC,KOTA,02:21:00,10:00:00,527.0,9h 34m,6h 50m
ROUTE_08,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_08,2,12907,BDTS SMPRK K,BRC,KOTA,23:12:00,06:20:00,527.0,9h 34m,3h 41m
ROUTE_09,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_09,2,22413,MAO-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,527.0,9h 34m,4h 53m
ROUTE_10,1,22837,HTE ERS DHAR,PGT,ERS,07:55:00,10:55:00,150.0,3h 56m,0h 0m
ROUTE_10,2,12284,NZM-ERS DURO,ERS,KOTA,15:40:00,03:00:00,2184.0,37h 39m,4h 45m
ROUTE_11,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,2h 0m,0h 0m
ROUTE_11,2,12218,KERALA S.KRA,TCR,ERS,08:43:00,10:20:00,73.0,1h 55m,2h 8m
ROUTE_11,3,12284,NZM-ERS DURO,ERS,KOTA,15:40:00,03:00:00,2184.0,37h 39m,5h 20m
ROUTE_12,1,16343,TVC-MDU AMRI,PGT,PGTN,07:30:00,07:45:00,4.0,0h 6m,0h 0m
ROUTE_12,2,22652,PGT-MAS SF E,PGTN,MAS,15:20:00,04:15:00,667.0,12h 7m,7h 35m
ROUTE_12,3,12968,JP CHENNAI E,MAS,KOTA,09:45:00,22:55:00,1935.0,33h 21m,5h 30m
ROUTE_13,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
ROUTE_13,2,12247,BDTS NZM YUV,BRC,RTM,21:46:00,01:05:00,262.0,5h 49m,2h 15m
ROUTE_13,3,12247,BDTS NZM YUV,RTM,KOTA,01:10:00,03:40:00,265.0,5h 53m,0h 0m
ROUTE_14,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m
