Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min)
ROUTE_01,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_01,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_01,3,22415,SUPERFAST AC,AGC,NDLS,15:45:00,19:05:00,188.0,250.67,100.0
ROUTE_02,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_02,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_02,3,19803,KOTA-SVDK WE,KOTA,NDLS,14:30:00,23:00:00,455.0,546.0,465.0
ROUTE_03,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_03,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_03,3,22209,NDLS DURONTO,KOTA,NDLS,10:30:00,16:30:00,455.0,546.0,225.0
ROUTE_04,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_04,2,12218,KERALA S.KRA,TCR,ERS,08:43:00,10:20:00,73.0,115.26,128.0
ROUTE_04,3,12284,NZM-ERS DURO,ERS,KOTA,15:40:00,03:00:00,2184.0,2259.31,320.0
ROUTE_04,4,22209,NDLS DURONTO,KOTA,NDLS,10:30:00,16:30:00,455.0,546.0,450.0
ROUTE_05,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_05,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_05,3,11111,GWL-BLP SUSH,AGC,MTJ,15:30:00,16:23:00,53.0,83.68,85.0
ROUTE_05,4,22403,PDY-NDLS WEE,MTJ,NDLS,23:50:00,02:10:00,135.0,213.16,447.0
ROUTE_06,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_06,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
