Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12627,SBC-NDLS KAR,SBC,NDLS,19:20:00,10:30:00,2386.0,15h 10m,0h 0m
ROUTE_02,1,11013,COIMBATORE E,SBC,KYN,22:10:00,23:15:00,1101.0,1h 5m,0h 0m
ROUTE_02,2,11057,AMRITSAR EXP,KYN,NDLS,00:33:00,04:15:00,1471.0,3h 42m,1h 18m
ROUTE_03,1,11013,COIMBATORE E,SBC,SA,22:10:00,03:35:00,217.0,5h 25m,0h 0m
ROUTE_03,2,16317,CAPE-SVDK HI,SA,NDLS,04:30:00,21:40:00,2431.0,17h 10m,0h 55m
ROUTE_04,1,11013,COIMBATORE E,SBC,SUR,22:10:00,06:25:00,697.0,8h 15m,0h 0m
ROUTE_04,2,12627,SBC-NDLS KAR,SUR,NDLS,07:50:00,10:30:00,1689.0,2h 40m,1h 25m
ROUTE_05,1,11301,UDYAN EXPRES,SBC,DD,08:50:00,13:00:00,885.0,4h 10m,0h 0m
ROUTE_05,2,11077,JHELUM EXPRE,DD,NDLS,18:50:00,21:00:00,1502.0,2h 10m,5h 50m
ROUTE_06,1,11302,UDYAN EXP,SBC,GTL,20:45:00,02:50:00,319.0,6h 5m,0h 0m
ROUTE_06,2,82652,SVDK-YPR WEE,GTL,NDLS,04:00:00,16:40:00,2062.0,12h 40m,1h 10m
ROUTE_07,1,11302,UDYAN EXP,SBC,CSMT,20:45:00,20:15:00,1154.0,23h 30m,0h 0m
ROUTE_07,2,11057,AMRITSAR EXP,CSMT,NDLS,23:30:00,04:15:00,1524.0,4h 45m,3h 15m
ROUTE_08,1,12008,MYS-MAS SHAT,SBC,KPD,16:25:00,19:23:00,232.0,2h 58m,0h 0m
ROUTE_08,2,12625,KERALA EXPRE,KPD,NDLS,02:02:00,13:45:00,2224.0,11h 43m,6h 39m
ROUTE_09,1,12008,MYS-MAS SHAT,SBC,MAS,16:25:00,21:25:00,361.0,5h 0m,0h 0m
ROUTE_09,2,12621,MAS-NDLS TAM,MAS,NDLS,22:00:00,07:05:00,2163.0,9h 5m,0h 35m
ROUTE_10,1,12008,MYS-MAS SHAT,SBC,MAS,16:25:00,21:25:00,361.0,5h 0m,0h 0m
ROUTE_10,2,16031,MAS-SVDK AND,MAS,NDLS,05:15:00,23:00:00,2189.0,17h 45m,7h 50m
ROUTE_11,1,12079,JANSHATABDI,SBC,YPR,06:00:00,06:08:00,5.0,0h 8m,0h 0m
ROUTE_11,2,22685,YPR-CDG BI-,YPR,NDLS,13:45:00,13:35:00,2602.0,23h 50m,7h 37m
ROUTE_12,1,12079,JANSHATABDI,SBC,YPR,06:00:00,06:08:00,5.0,0h 8m,0h 0m
