Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,11013,COIMBATORE E,SBC,KYN,22:10:00,23:15:00,1101.0,1h 5m,0h 0m,1,365.0,2572.0,1,100.0,100.0
OPT_ROUTE_01,FASTEST ⚡,2,11057,AMRITSAR EXP,KYN,NDLS,00:33:00,04:15:00,1471.0,3h 42m,1h 18m,1,365.0,2572.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,1,11302,UDYAN EXP,SBC,GTL,20:45:00,02:50:00,319.0,6h 5m,0h 0m,1,1195.0,2381.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,2,82652,SVDK-YPR WEE,GTL,NDLS,04:00:00,16:40:00,2062.0,12h 40m,1h 10m,1,1195.0,2381.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,1,11301,UDYAN EXPRES,SBC,DD,08:50:00,13:00:00,885.0,4h 10m,0h 0m,1,730.0,2387.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,2,11077,JHELUM EXPRE,DD,NDLS,18:50:00,21:00:00,1502.0,2h 10m,5h 50m,0,730.0,2387.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,1,11013,COIMBATORE E,SBC,SUR,22:10:00,06:25:00,697.0,8h 15m,0h 0m,1,740.0,2386.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,2,12627,SBC-NDLS KAR,SUR,NDLS,07:50:00,10:30:00,1689.0,2h 40m,1h 25m,1,740.0,2386.0,1,100.0,100.0
OPT_ROUTE_05,BALANCED ⚖️,1,12627,SBC-NDLS KAR,SBC,NDLS,19:20:00,10:30:00,2386.0,15h 10m,0h 0m,1,910.0,2386.0,0,100.0,100.0
OPT_ROUTE_06,BALANCED ⚖️,1,12627,SBC-NDLS KAR,SBC,JHS,19:20:00,03:33:00,1993.0,8h 13m,0h 0m,1,1095.0,2385.0,1,100.0,100.0
OPT_ROUTE_06,BALANCED ⚖️,2,22685,YPR-CDG BI-,JHS,NDLS,06:10:00,13:35:00,392.0,7h 25m,2h 37m,0,1095.0,2385.0,1,100.0,100.0
OPT_ROUTE_07,BALANCED ⚖️,1,12079,JANSHATABDI,SBC,ASK,06:00:00,08:30:00,165.0,2h 30m,0h 0m,1,640.0,2563.0,1,100.0,100.0
OPT_ROUTE_07,BALANCED ⚖️,2,82652,SVDK-YPR WEE,ASK,NDLS,11:20:00,16:40:00,2398.0,5h 20m,2h 50m,1,640.0,2563.0,1,100.0,100.0
