Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,14709,BKN PURI EXP,BKN,KOTA,17:05:00,03:20:00,620.0,10h 15m,0h 0m
ROUTE_02,1,18246,BKN-BSP EXP,BKN,KOTA,23:55:00,11:40:00,620.0,11h 45m,0h 0m
ROUTE_03,1,22632,BKN-MAS  ANU,BKN,KOTA,14:50:00,01:00:00,620.0,10h 10m,0h 0m
ROUTE_04,1,12371,HWH JSM SF E,BKN,ASN,18:30:00,10:47:00,1727.0,16h 17m,0h 0m
ROUTE_04,2,19608,AII KOAA EXP,ASN,KOTA,12:25:00,02:20:00,1425.0,13h 55m,1h 38m
ROUTE_05,1,12371,HWH JSM SF E,BKN,MGS,18:30:00,17:50:00,1266.0,23h 20m,0h 0m
ROUTE_05,2,12947,AZIMABAD EXP,MGS,KOTA,00:57:00,07:25:00,919.0,6h 28m,7h 7m
ROUTE_06,1,12371,HWH JSM SF E,BKN,BSB,18:30:00,19:05:00,1248.0,0h 35m,0h 0m
ROUTE_06,2,22970,BSB OKHA SF,BSB,KOTA,21:55:00,12:00:00,901.0,14h 5m,2h 50m
ROUTE_07,1,12455,DEE- BKN EXP,BKN,JHL,00:00:00,01:43:00,593.0,1h 43m,0h 0m
ROUTE_07,2,19024,FZR BCT JANT,JHL,KOTA,08:36:00,23:15:00,657.0,14h 39m,6h 53m
ROUTE_08,1,12455,DEE- BKN EXP,BKN,SAG,00:00:00,02:21:00,543.0,2h 21m,0h 0m
ROUTE_08,2,19804,SVDK-KOTA WE,SAG,KOTA,07:17:00,23:50:00,707.0,16h 33m,4h 56m
ROUTE_09,1,12456,BKN-DEE  EXP,BKN,ROK,16:45:00,05:48:00,722.0,13h 3m,0h 0m
ROUTE_09,2,19024,FZR BCT JANT,ROK,KOTA,10:50:00,23:15:00,528.0,12h 25m,5h 2m
ROUTE_10,1,12456,BKN-DEE  EXP,BKN,SAG,16:45:00,03:00:00,542.0,10h 15m,0h 0m
ROUTE_10,2,19804,SVDK-KOTA WE,SAG,KOTA,07:17:00,23:50:00,707.0,16h 33m,4h 17m
ROUTE_11,1,12468,LEELAN EXP,BKN,FL,23:15:00,17:08:00,327.0,17h 53m,0h 0m
ROUTE_11,2,18208,AII  - DURG,FL,KOTA,20:42:00,01:35:00,294.0,4h 53m,3h 34m
ROUTE_12,1,12468,LEELAN EXP,BKN,FL,23:15:00,17:08:00,327.0,17h 53m,0h 0m
ROUTE_12,2,20814,JODHPUR-PURI,FL,KOTA,18:32:00,22:55:00,294.0,4h 23m,1h 24m
ROUTE_13,1,12468,LEELAN EXP,BKN,DNA,23:15:00,19:01:00,218.0,19h 46m,0h 0m
ROUTE_13,2,22982,KOTA-HMH -KO,DNA,KOTA,02:13:00,09:50:00,403.0,7h 37m,7h 12m
ROUTE_14,1,12489,BKN DDR SF E,BKN,ADI,13:40:00,04:00:00,759.0,14h 20m,0h 0m
ROUTE_14,2,12473,SARVODAYA EX,ADI,KOTA,11:30:00,21:40:00,627.0,10h 10m,7h 30m
ROUTE_15,1,12489,BKN DDR SF E,BKN,ADI,13:40:00,04:00:00,759.0,14h 20m,0h 0m
ROUTE_15,2,12918,GUJRAT S KRA,ADI,KOTA,06:10:00,19:45:00,627.0,13h 35m,2h 10m
ROUTE_16,1,12489,BKN DDR SF E,BKN,BRC,13:40:00,06:22:00,859.0,16h 42m,0h 0m
ROUTE_16,2,12477,JAM SVDK EXP,BRC,KOTA,13:35:00,21:35:00,527.0,8h 0m,7h 13m
ROUTE_17,1,12489,BKN DDR SF E,BKN,VAPI,13:40:00,09:24:00,1080.0,19h 44m,0h 0m
