Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min)
ROUTE_01,1,12970,JP CBE SF EX,CBE,KOTA,18:00:00,22:55:00,2428.0,2511.72,0.0
ROUTE_02,1,22648,TVC KRBA SF,CBE,QLN,15:33:00,07:10:00,358.0,429.6,0.0
ROUTE_02,2,12483,KCVL EXPRESS,QLN,KOTA,10:25:00,02:55:00,2329.0,2409.31,195.0
ROUTE_03,1,12970,JP CBE SF EX,CBE,KOTA,18:00:00,22:55:00,2428.0,2511.72,0.0
ROUTE_04,1,22648,TVC KRBA SF,CBE,QLN,15:33:00,07:10:00,358.0,429.6,0.0
ROUTE_04,2,12483,KCVL EXPRESS,QLN,KOTA,10:25:00,02:55:00,2329.0,2409.31,195.0
ROUTE_05,1,11013,COIMBATORE E,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0
ROUTE_05,2,12493,PUNE-NZM AC,PUNE,NZM,05:15:00,05:35:00,1498.0,1498.0,205.0
ROUTE_05,3,12060,KOTA JANSHTB,NZM,KOTA,13:15:00,20:00:00,450.0,540.0,460.0
ROUTE_06,1,11013,COIMBATORE E,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0
ROUTE_06,2,12493,PUNE-NZM AC,PUNE,NZM,05:15:00,05:35:00,1498.0,1498.0,205.0
ROUTE_06,3,12264,NZM-PUNE DUR,NZM,KOTA,10:55:00,15:20:00,450.0,540.0,320.0
ROUTE_07,1,11013,COIMBATORE E,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0
ROUTE_07,2,12493,PUNE-NZM AC,PUNE,NZM,05:15:00,05:35:00,1498.0,1498.0,205.0
ROUTE_07,3,12450,GOA SMPRK KR,NZM,KOTA,06:42:00,13:10:00,450.0,540.0,67.0
ROUTE_08,1,11013,COIMBATORE E,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0
ROUTE_08,2,12849,BSP - PUNE S,PUNE,BYT,09:45:00,12:11:00,1268.0,1268.0,475.0
ROUTE_08,3,18243,BSP-BGKT EXP,BYT,KOTA,18:58:00,17:25:00,1220.0,1220.0,407.0
