Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
ROUTE_01,FASTEST ⚡,1,12303,POORVA EXPRE,HWH,KIUL,08:05:00,13:58:00,407.0,488.4,0.0,1,1933.19,1553.0,3,100.0,90
ROUTE_01,FASTEST ⚡,2,13430,ANVT-MLDT WK,KIUL,GZB,16:25:00,17:45:00,1117.0,1117.0,147.0,1,1933.19,1553.0,3,100.0,90
ROUTE_01,FASTEST ⚡,3,64418,DLI-GZB MEMU,GZB,DSB,20:00:00,18:54:00,27.0,42.63,135.0,1,1933.19,1553.0,3,100.0,90
ROUTE_01,FASTEST ⚡,4,64418,DLI-GZB MEMU,DSB,NDLS,18:55:00,19:03:00,2.0,3.16,0.0,1,1933.19,1553.0,3,100.0,90
ROUTE_02,CHEAPEST 💰,1,37843,HWH - BWN LO,HWH,BDC,17:55:00,18:43:00,39.0,61.58,0.0,0,2575.0,1532.0,3,75.0,90
ROUTE_02,CHEAPEST 💰,2,53139,KOAA JSME PG,BDC,BWN,00:05:00,01:23:00,67.0,105.79,322.0,1,2575.0,1532.0,3,75.0,90
ROUTE_02,CHEAPEST 💰,3,12303,POORVA EXPRE,BWN,ALD,09:13:00,21:40:00,797.0,869.45,470.0,1,2575.0,1532.0,3,75.0,90
ROUTE_02,CHEAPEST 💰,4,12275,ALD-NDLS-DUR,ALD,NDLS,22:40:00,06:25:00,629.0,686.18,60.0,1,2575.0,1532.0,3,75.0,90
ROUTE_03,MOST DIRECT 🚂,1,12312,KLK DLI HWH,HWH,KKDE,07:55:00,02:53:00,1589.0,1589.0,0.0,1,2116.33,1746.0,1,100.0,100
ROUTE_03,MOST DIRECT 🚂,2,12006,KLK-NDLS SHA,KKDE,NDLS,08:11:00,10:20:00,157.0,209.33,318.0,1,2116.33,1746.0,1,100.0,100
ROUTE_04,FAST #2 ⚡,1,12303,POORVA EXPRE,HWH,KIUL,08:05:00,13:58:00,407.0,488.4,0.0,1,1950.45,1550.0,2,100.0,95
ROUTE_04,FAST #2 ⚡,2,13430,ANVT-MLDT WK,KIUL,GZB,16:25:00,17:45:00,1117.0,1117.0,147.0,1,1950.45,1550.0,2,100.0,95
ROUTE_04,FAST #2 ⚡,3,12039,KGM-NDLS SHA,GZB,NDLS,20:22:00,21:05:00,26.0,41.05,157.0,1,1950.45,1550.0,2,100.0,95
