Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12218,KERALA S.KRA,NDLS,KOTA,13:40:00,19:45:00,457.0,6h 5m,0h 0m
ROUTE_02,1,12449,GOA SMPRK K,NDLS,KOTA,18:25:00,10:00:00,455.0,15h 35m,0h 0m
ROUTE_03,1,12450,GOA SMPRK KR,NDLS,KOTA,06:15:00,13:10:00,457.0,6h 55m,0h 0m
ROUTE_04,1,12472,SWARAJ EXPRE,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m
ROUTE_05,1,12474,SARVODAYA EX,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m
ROUTE_06,1,12476,SARVODAYA EX,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m
ROUTE_07,1,12478,SVDK- JAMNAG,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m
ROUTE_08,1,12484,KCVL EXPRESS,NDLS,KOTA,13:40:00,19:40:00,457.0,6h 0m,0h 0m
ROUTE_09,1,12926,PASCHIM EXPR,NDLS,KOTA,16:45:00,23:30:00,457.0,6h 45m,0h 0m
ROUTE_10,1,12952,MUMBAI RAJDH,NDLS,KOTA,16:25:00,21:00:00,457.0,4h 35m,0h 0m
ROUTE_11,1,19024,FZR BCT JANT,NDLS,KOTA,13:30:00,23:15:00,457.0,9h 45m,0h 0m
ROUTE_12,1,19804,SVDK-KOTA WE,NDLS,KOTA,14:15:00,23:50:00,457.0,9h 35m,0h 0m
ROUTE_13,1,19806,UHP-KOTA WEE,NDLS,KOTA,03:40:00,11:10:00,457.0,7h 30m,0h 0m
ROUTE_14,1,22210,BCT DURONTO,NDLS,KOTA,23:25:00,04:15:00,457.0,4h 50m,0h 0m
ROUTE_15,1,11057,AMRITSAR EXP,NDLS,KKDE,04:30:00,07:52:00,157.0,3h 22m,0h 0m
ROUTE_15,2,12926,PASCHIM EXPR,KKDE,KOTA,13:40:00,23:30:00,614.0,9h 50m,5h 48m
ROUTE_16,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m
ROUTE_16,2,12218,KERALA S.KRA,UMB,KOTA,10:20:00,19:45:00,655.0,9h 25m,1h 0m
ROUTE_17,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m
ROUTE_17,2,12484,KCVL EXPRESS,UMB,KOTA,10:20:00,19:40:00,655.0,9h 20m,1h 0m
ROUTE_18,1,11057,AMRITSAR EXP,NDLS,JRC,04:30:00,14:43:00,419.0,10h 13m,0h 0m
ROUTE_18,2,22941,INDB JAT SF,JRC,KOTA,21:28:00,06:10:00,827.0,8h 42m,6h 45m
ROUTE_19,1,11057,AMRITSAR EXP,NDLS,ASR,04:30:00,16:30:00,502.0,12h 0m,0h 0m
ROUTE_19,2,12904,GOLDN TEMPLE,ASR,KOTA,21:25:00,14:20:00,968.0,16h 55m,4h 55m
ROUTE_20,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m
ROUTE_20,2,12284,NZM-ERS DURO,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m
ROUTE_21,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m
ROUTE_21,2,12494,NZM-PUNE AC,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m
ROUTE_22,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m
ROUTE_22,2,12908,MHRST SMPRK,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m
ROUTE_23,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m
ROUTE_23,2,12912,HW BL SUP EX,NZM,KOTA,23:35:00,06:10:00,451.0,6h 35m,2h 32m
ROUTE_24,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m
ROUTE_24,2,12917,GUJARAT SMPR,NZM,KOTA,00:00:00,02:55:00,448.0,2h 55m,2h 57m
ROUTE_25,1,11058,ASR CSMT EXP,NDLS,PWL,20:45:00,22:28:00,54.0,1h 43m,0h 0m
ROUTE_25,2,19020,DEHRADUN EXP,PWL,KOTA,23:38:00,07:35:00,403.0,7h 57m,1h 10m
ROUTE_26,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m
ROUTE_26,2,19806,UHP-KOTA WEE,MTJ,KOTA,06:20:00,11:10:00,320.0,4h 50m,6h 45m
