Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12616,G T EXPRESS,NDLS,MAS,18:40:00,06:20:00,2163.0,11h 40m,0h 0m
ROUTE_02,1,12622,NDLS-MAS TAM,NDLS,MAS,22:30:00,07:10:00,2163.0,8h 40m,0h 0m
ROUTE_03,1,16032,SVDK-MAS AND,NDLS,MAS,14:15:00,10:20:00,2187.0,20h 5m,0h 0m
ROUTE_04,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m
ROUTE_04,2,12969,CBE JAIPUR E,ET,MAS,16:00:00,17:10:00,1390.0,1h 10m,2h 45m
ROUTE_05,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m
ROUTE_05,2,12295,SBC-PPTA SAN,ET,MAS,14:45:00,15:15:00,1389.0,0h 30m,1h 30m
ROUTE_06,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m
ROUTE_06,2,12578,BAGMATI  EXP,ET,MAS,16:55:00,15:55:00,1391.0,23h 0m,3h 40m
ROUTE_07,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m
ROUTE_07,2,12670,CPR-MAS GANG,ET,MAS,14:40:00,14:25:00,1387.0,23h 45m,1h 25m
ROUTE_08,1,11058,ASR CSMT EXP,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m
ROUTE_08,2,22352,YPR - PPTA E,ET,MAS,16:55:00,15:55:00,1390.0,23h 0m,3h 40m
ROUTE_09,1,11078,JHELUM EXPRE,NDLS,PUNE,10:15:00,15:10:00,1581.0,4h 55m,0h 0m
ROUTE_09,2,19420,ADI CHENNAI,PUNE,MAS,21:15:00,17:10:00,1090.0,19h 55m,6h 5m
ROUTE_10,1,11449,JBP-SVDK EXP,NDLS,SVDK,00:10:00,15:20:00,670.0,15h 10m,0h 0m
ROUTE_10,2,16032,SVDK-MAS AND,SVDK,MAS,21:55:00,10:20:00,2857.0,12h 25m,6h 35m
ROUTE_11,1,11450,SVDK-JBP EXP,NDLS,JBP,14:15:00,07:25:00,894.0,17h 10m,0h 0m
ROUTE_11,2,12296,PNBE-SBC SAN,JBP,MAS,08:10:00,13:30:00,1630.0,5h 20m,0h 45m
ROUTE_12,1,11450,SVDK-JBP EXP,NDLS,JBP,14:15:00,07:25:00,894.0,17h 10m,0h 0m
ROUTE_12,2,12577,BAGMATI EXP,JBP,MAS,09:00:00,14:20:00,1632.0,5h 20m,1h 35m
ROUTE_13,1,12004,NDLS-LKO SHA,NDLS,CNB,06:10:00,11:20:00,430.0,5h 10m,0h 0m
ROUTE_13,2,12511,RAPTISAGAR E,CNB,MAS,13:22:00,23:20:00,1986.0,9h 58m,2h 2m
ROUTE_14,1,12004,NDLS-LKO SHA,NDLS,CNB,06:10:00,11:20:00,430.0,5h 10m,0h 0m
ROUTE_14,2,12521,RAPTI SAGAR,CNB,MAS,13:22:00,23:20:00,1986.0,9h 58m,2h 2m
ROUTE_15,1,12004,NDLS-LKO SHA,NDLS,LJN,06:10:00,12:40:00,504.0,6h 30m,0h 0m
ROUTE_15,2,16094,LJN - MAS EX,LJN,MAS,16:20:00,10:20:00,2083.0,18h 0m,3h 40m
ROUTE_16,1,12191,SHRIDHAM SUP,NDLS,NU,14:05:00,05:28:00,937.0,15h 23m,0h 0m
ROUTE_16,2,12296,PNBE-SBC SAN,NU,MAS,09:18:00,13:30:00,1546.0,4h 12m,3h 50m
ROUTE_17,1,12191,SHRIDHAM SUP,NDLS,NU,14:05:00,05:28:00,937.0,15h 23m,0h 0m
ROUTE_17,2,12577,BAGMATI EXP,NU,MAS,10:05:00,14:20:00,1548.0,4h 15m,4h 37m
ROUTE_18,1,12203,GARIB RATH,NDLS,HJP,14:10:00,19:55:00,999.0,5h 45m,0h 0m
ROUTE_18,2,12521,RAPTI SAGAR,HJP,MAS,01:45:00,23:20:00,2574.0,21h 35m,5h 50m
ROUTE_19,1,12203,GARIB RATH,NDLS,BJU,14:10:00,16:55:00,1155.0,2h 45m,0h 0m
ROUTE_19,2,12577,BAGMATI EXP,BJU,MAS,18:15:00,14:20:00,2458.0,20h 5m,1h 20m
ROUTE_20,1,12217,KERALA S.KRA,NDLS,TCR,11:50:00,14:05:00,2569.0,2h 15m,0h 0m
ROUTE_20,2,22640,CHENNAI EXPR,TCR,MAS,19:03:00,05:50:00,625.0,10h 47m,4h 58m
ROUTE_21,1,12217,KERALA S.KRA,NDLS,ERS,11:50:00,12:55:00,2643.0,1h 5m,0h 0m
ROUTE_21,2,22643,PATNA EXPRES,ERS,MAS,17:15:00,06:05:00,698.0,12h 50m,4h 20m
ROUTE_22,1,12217,KERALA S.KRA,NDLS,TCR,11:50:00,14:05:00,2569.0,2h 15m,0h 0m
ROUTE_22,2,12624,CHENNAI MAIL,TCR,MAS,20:43:00,07:30:00,625.0,10h 47m,6h 38m
ROUTE_23,1,12217,KERALA S.KRA,NDLS,CLT,11:50:00,16:20:00,2450.0,4h 30m,0h 0m
ROUTE_23,2,12602,CHENNAI MAIL,CLT,MAS,17:20:00,05:40:00,665.0,12h 20m,1h 0m
ROUTE_24,1,12217,KERALA S.KRA,NDLS,SRR,11:50:00,15:00:00,2536.0,3h 10m,0h 0m
ROUTE_24,2,12686,MAQ-MAS EXP.,SRR,MAS,21:30:00,08:00:00,579.0,10h 30m,6h 30m
ROUTE_25,1,12218,KERALA S.KRA,NDLS,KOTA,13:40:00,19:45:00,457.0,6h 5m,0h 0m
ROUTE_25,2,12969,CBE JAIPUR E,KOTA,MAS,01:55:00,17:10:00,1941.0,15h 15m,6h 10m
ROUTE_26,1,12218,KERALA S.KRA,NDLS,KOTA,13:40:00,19:45:00,457.0,6h 5m,0h 0m
ROUTE_26,2,22632,BKN-MAS  ANU,KOTA,MAS,01:05:00,10:10:00,1938.0,9h 5m,5h 20m
ROUTE_27,1,12218,KERALA S.KRA,NDLS,BRC,13:40:00,04:07:00,985.0,14h 27m,0h 0m
ROUTE_27,2,12655,NAVAJEEVAN E,BRC,MAS,09:27:00,16:05:00,1794.0,6h 38m,5h 20m
ROUTE_28,1,12235,GHY-NDLS RAJ,NDLS,GHY,13:55:00,04:15:00,1941.0,14h 20m,0h 0m
ROUTE_28,2,12509,SBC -GHY EXP,GHY,MAS,06:00:00,06:05:00,2636.0,0h 5m,1h 45m
ROUTE_29,1,12235,GHY-NDLS RAJ,NDLS,GHY,13:55:00,04:15:00,1941.0,14h 20m,0h 0m
ROUTE_29,2,12510,GHY-SBC EXP,GHY,MAS,06:20:00,04:30:00,2636.0,22h 10m,2h 5m
ROUTE_30,1,12236,NDLS-GHY RAJ,NDLS,NJP,09:25:00,12:05:00,1530.0,2h 40m,0h 0m
ROUTE_30,2,12508,SCL - TVC EX,NJP,MAS,14:25:00,04:30:00,2225.0,14h 5m,2h 20m
ROUTE_31,1,12236,NDLS-GHY RAJ,NDLS,NJP,09:25:00,12:05:00,1530.0,2h 40m,0h 0m
