Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
ROUTE_01,FASTEST ⚡,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3488.14,2934.0,2,66.67,90
ROUTE_01,FASTEST ⚡,2,15668,KAMAKHYA-GAN,BSB,FD,10:10:00,13:25:00,195.0,260.0,325.0,0,3488.14,2934.0,2,66.67,90
ROUTE_01,FASTEST ⚡,3,15668,KAMAKHYA-GAN,FD,LKO,13:27:00,16:55:00,128.0,202.11,0.0,1,3488.14,2934.0,2,66.67,90
ROUTE_02,CHEAPEST 💰,1,12258,KCVL-YPR EXP,PGT,CBE,00:15:00,01:37:00,55.0,86.84,0.0,1,3715.37,2631.0,5,66.67,80
ROUTE_02,CHEAPEST 💰,2,11014,LOKMANYA TT,CBE,GBD,08:55:00,17:29:00,463.0,555.6,438.0,0,3715.37,2631.0,5,66.67,80
ROUTE_02,CHEAPEST 💰,3,11014,LOKMANYA TT,GBD,HUP,17:30:00,18:08:00,24.0,37.89,0.0,1,3715.37,2631.0,5,66.67,80
ROUTE_02,CHEAPEST 💰,4,11014,LOKMANYA TT,HUP,SSPN,18:10:00,19:25:00,57.0,90.0,0.0,1,3715.37,2631.0,5,66.67,80
ROUTE_02,CHEAPEST 💰,5,11014,LOKMANYA TT,SSPN,DMM,19:30:00,20:13:00,33.0,52.11,0.0,1,3715.37,2631.0,5,66.67,80
ROUTE_02,CHEAPEST 💰,6,15024,YPR-GKP-EXP,DMM,LKO,02:40:00,13:10:00,1999.0,2067.93,387.0,0,3715.37,2631.0,5,66.67,80
ROUTE_03,MOST DIRECT 🚂,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3903.14,2934.0,2,66.67,95
ROUTE_03,MOST DIRECT 🚂,2,15668,KAMAKHYA-GAN,BSB,FD,10:10:00,13:25:00,195.0,260.0,325.0,0,3903.14,2934.0,2,66.67,95
ROUTE_03,MOST DIRECT 🚂,3,13237,PNBE- KOTA,FD,LKO,20:20:00,23:20:00,128.0,202.11,415.0,1,3903.14,2934.0,2,66.67,95
ROUTE_04,BEST SEATS 💺,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0,1,3708.0,2853.0,3,100.0,90
ROUTE_04,BEST SEATS 💺,2,22113,LTT-KCVL BI-,TCR,TNA,14:08:00,17:17:00,1210.0,1210.0,453.0,1,3708.0,2853.0,3,100.0,90
ROUTE_04,BEST SEATS 💺,3,11068,SAKET EXPRES,TNA,SLN,20:50:00,16:57:00,1434.0,1434.0,213.0,1,3708.0,2853.0,3,100.0,90
ROUTE_04,BEST SEATS 💺,4,19314,INDORE EXPRE,SLN,LKO,18:05:00,22:25:00,133.0,210.0,68.0,1,3708.0,2853.0,3,100.0,90
ROUTE_05,FAST #2 ⚡,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3591.28,3051.0,3,100.0,90
ROUTE_05,FAST #2 ⚡,2,16359,ERS PATNA EX,BSB,MGS,04:55:00,05:38:00,19.0,30.0,0.0,1,3591.28,3051.0,3,100.0,90
ROUTE_05,FAST #2 ⚡,3,12819,BBS-NDLS SAM,MGS,CNB,09:00:00,13:40:00,347.0,416.4,202.0,1,3591.28,3051.0,3,100.0,90
ROUTE_05,FAST #2 ⚡,4,11079,LTT-GKP EXPR,CNB,LKO,15:45:00,17:15:00,74.0,116.84,125.0,1,3591.28,3051.0,3,100.0,90
ROUTE_06,FAST #3 ⚡,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3653.03,2934.0,3,75.0,85
ROUTE_06,FAST #3 ⚡,2,15636,DWARKA EXPRE,BSB,ABP,10:10:00,12:16:00,134.0,211.58,325.0,1,3653.03,2934.0,3,75.0,85
ROUTE_06,FAST #3 ⚡,3,15025,MAU-ANVT EXP,ABP,FD,14:13:00,15:34:00,61.0,96.32,117.0,0,3653.03,2934.0,3,75.0,85
ROUTE_06,FAST #3 ⚡,4,15025,MAU-ANVT EXP,FD,LKO,15:39:00,18:40:00,128.0,202.11,0.0,1,3653.03,2934.0,3,75.0,85
ROUTE_07,CHEAP #2 💰,1,12258,KCVL-YPR EXP,PGT,CBE,00:15:00,01:37:00,55.0,86.84,0.0,1,3887.47,2808.0,3,50.0,90
ROUTE_07,CHEAP #2 💰,2,11014,LOKMANYA TT,CBE,GBD,08:55:00,17:29:00,463.0,555.6,438.0,0,3887.47,2808.0,3,50.0,90
ROUTE_07,CHEAP #2 💰,3,11014,LOKMANYA TT,GBD,HUP,17:30:00,18:08:00,24.0,37.89,0.0,1,3887.47,2808.0,3,50.0,90
ROUTE_07,CHEAP #2 💰,4,22683,YPR-LKO WEEK,HUP,LKO,01:13:00,18:40:00,2266.0,2344.14,425.0,0,3887.47,2808.0,3,50.0,90
ROUTE_08,CHEAP #3 💰,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,2,12247,BDTS NZM YUV,BRC,RTM,21:46:00,01:05:00,262.0,349.33,135.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,3,79310,RTM DADN DEM,RTM,FTD,06:00:00,07:30:00,79.0,124.74,295.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,4,79310,RTM DADN DEM,FTD,AJN,07:32:00,07:43:00,11.0,17.37,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,5,79310,RTM DADN DEM,AJN,BLDK,07:45:00,07:54:00,7.0,11.05,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,6,79310,RTM DADN DEM,BLDK,PLA,07:55:00,08:02:00,7.0,11.05,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,7,79310,RTM DADN DEM,PLA,LMNR,08:04:00,08:16:00,11.0,17.37,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,8,79310,RTM DADN DEM,LMNR,INDB,08:18:00,08:35:00,3.0,4.74,0.0,1,3808.29,2821.0,8,100.0,65
ROUTE_08,CHEAP #3 💰,9,19321,INDB RJPB EX,INDB,LKO,14:00:00,05:25:00,843.0,919.64,325.0,1,3808.29,2821.0,8,100.0,65
ROUTE_09,ALTERNATIVE #1 🔄,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3665.91,2950.0,4,80.0,85
ROUTE_09,ALTERNATIVE #1 🔄,2,16359,ERS PATNA EX,BSB,MGS,04:55:00,05:38:00,19.0,30.0,0.0,1,3665.91,2950.0,4,80.0,85
ROUTE_09,ALTERNATIVE #1 🔄,3,12355,ARCHNA EXPRE,MGS,BSB,10:44:00,11:25:00,19.0,30.0,306.0,1,3665.91,2950.0,4,80.0,85
ROUTE_09,ALTERNATIVE #1 🔄,4,14204,LKO BSB INTE,BSB,BCN,13:30:00,07:58:00,254.0,338.67,125.0,1,3665.91,2950.0,4,80.0,85
ROUTE_09,ALTERNATIVE #1 🔄,5,14215,GANGA GOMTI,BCN,LKO,08:59:00,10:10:00,47.0,74.21,61.0,0,3665.91,2950.0,4,80.0,85
ROUTE_10,ALTERNATIVE #2 🔄,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0,1,3667.29,3049.0,3,75.0,90
ROUTE_10,ALTERNATIVE #2 🔄,2,12511,RAPTISAGAR E,TCR,IJK,11:00:00,11:24:00,24.0,37.89,265.0,1,3667.29,3049.0,3,75.0,90
ROUTE_10,ALTERNATIVE #2 🔄,3,12511,RAPTISAGAR E,IJK,GD,11:25:00,08:55:00,2832.0,2929.66,0.0,1,3667.29,3049.0,3,75.0,90
ROUTE_10,ALTERNATIVE #2 🔄,4,12597,GKP-CSMT-WEE,GD,LKO,11:05:00,13:25:00,117.0,184.74,130.0,0,3667.29,3049.0,3,75.0,90
ROUTE_11,ALTERNATIVE #3 🔄,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0,1,3821.56,2933.0,2,66.67,90
ROUTE_11,ALTERNATIVE #3 🔄,2,15668,KAMAKHYA-GAN,BSB,FD,10:10:00,13:25:00,195.0,260.0,325.0,0,3821.56,2933.0,2,66.67,90
ROUTE_11,ALTERNATIVE #3 🔄,3,19322,RJPB INDB EX,FD,LKO,19:00:00,22:25:00,127.0,200.53,335.0,1,3821.56,2933.0,2,66.67,90
