Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,12258,KCVL-YPR EXP,PGT,CBE,00:15:00,01:37:00,55.0,1h 26m,0h 0m
ROUTE_01,2,22475,BKN CBE AC S,CBE,MTD,02:50:00,09:35:00,2305.0,39h 44m,1h 13m
ROUTE_01,3,15623,BGKT KYQ WEE,MTD,PNBE,17:28:00,02:40:00,1557.0,25h 57m,7h 53m
ROUTE_02,1,13352,ALLEPY-DHANB,PGT,MURI,10:40:00,10:08:00,2213.0,38h 9m,0h 0m
ROUTE_02,2,13319,BDME-RNC EXP,MURI,JSME,11:34:00,04:55:00,260.0,5h 46m,1h 26m
ROUTE_02,3,12273,HWH NDLS DUR,JSME,PNBE,12:27:00,16:30:00,221.0,4h 54m,7h 32m
ROUTE_03,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_03,2,12354,LKU  HWH  EX,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m
ROUTE_03,3,12350,NDLS BGP  EX,MGS,PNBE,11:58:00,14:40:00,208.0,4h 37m,3h 43m
ROUTE_04,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_04,2,12354,LKU  HWH  EX,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m
ROUTE_04,3,12546,KARMBHOOMI E,MGS,PNBE,12:23:00,15:35:00,208.0,4h 37m,4h 8m
ROUTE_05,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_05,2,12354,LKU  HWH  EX,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m
ROUTE_05,3,15548,LTT-JYG JANS,MGS,PNBE,12:28:00,15:35:00,208.0,4h 37m,4h 13m
ROUTE_06,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_06,2,12354,LKU  HWH  EX,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m
ROUTE_06,3,19313,INDB RJPB  E,MGS,PNBE,12:38:00,16:55:00,208.0,4h 37m,4h 23m
ROUTE_07,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_07,2,12354,LKU  HWH  EX,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m
ROUTE_07,3,19321,INDB RJPB EX,MGS,PNBE,12:38:00,16:55:00,207.0,4h 36m,4h 23m
ROUTE_08,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m
ROUTE_08,2,16359,ERS PATNA EX,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m
ROUTE_08,3,12350,NDLS BGP  EX,MGS,PNBE,11:58:00,14:40:00,208.0,4h 37m,6h 20m
