Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,MOST DIRECT 🚂,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,2940.32,2635.0,2,100.0,95
OPT_ROUTE_01,MOST DIRECT 🚂,2,12023,HOWRAH PATNA,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,1,2940.32,2635.0,2,100.0,95
OPT_ROUTE_01,MOST DIRECT 🚂,3,12023,HOWRAH PATNA,PNC,PNBE,21:45:00,22:45:00,9.0,0h 14m,0h 0m,1,2940.32,2635.0,2,100.0,95
OPT_ROUTE_02,CHEAPEST 💰,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,3149.74,2634.0,2,100.0,95
OPT_ROUTE_02,CHEAPEST 💰,2,12349,BGP NDLS EXP,MKA,BKP,20:51:00,21:19:00,43.0,1h 7m,3h 8m,1,3149.74,2634.0,2,100.0,95
OPT_ROUTE_02,CHEAPEST 💰,3,15483,SIKKIM MAHAN,BKP,PNBE,00:28:00,01:15:00,45.0,1h 11m,3h 9m,1,3149.74,2634.0,2,100.0,95
OPT_ROUTE_03,FAST #3 ⚡,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,3142.74,2634.0,2,100.0,90
OPT_ROUTE_03,FAST #3 ⚡,2,22643,PATNA EXPRES,MKA,BKP,17:45:00,18:18:00,43.0,1h 7m,0h 0m,1,3142.74,2634.0,2,100.0,90
OPT_ROUTE_03,FAST #3 ⚡,3,15483,SIKKIM MAHAN,BKP,PNBE,00:28:00,01:15:00,45.0,1h 11m,6h 10m,1,3142.74,2634.0,2,100.0,90
OPT_ROUTE_04,FAST #2 ⚡,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,2919.74,2634.0,3,100.0,90
OPT_ROUTE_04,FAST #2 ⚡,2,22643,PATNA EXPRES,MKA,BKP,17:45:00,18:18:00,43.0,1h 7m,0h 0m,1,2919.74,2634.0,3,100.0,90
OPT_ROUTE_04,FAST #2 ⚡,3,22643,PATNA EXPRES,BKP,PNC,18:20:00,19:18:00,36.0,0h 56m,0h 0m,1,2919.74,2634.0,3,100.0,90
OPT_ROUTE_04,FAST #2 ⚡,4,12023,HOWRAH PATNA,PNC,PNBE,21:45:00,22:45:00,9.0,0h 14m,2h 27m,1,2919.74,2634.0,3,100.0,90
OPT_ROUTE_05,FAST #1 ⚡,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,2888.32,2635.0,3,100.0,90
OPT_ROUTE_05,FAST #1 ⚡,2,22643,PATNA EXPRES,MKA,BKP,17:45:00,18:18:00,43.0,1h 7m,0h 0m,1,2888.32,2635.0,3,100.0,90
OPT_ROUTE_05,FAST #1 ⚡,3,22643,PATNA EXPRES,BKP,PNC,18:20:00,19:18:00,36.0,0h 56m,0h 0m,1,2888.32,2635.0,3,100.0,90
OPT_ROUTE_05,FAST #1 ⚡,4,12315,ANNANYA  EXP,PNC,PNBE,21:12:00,21:30:00,10.0,0h 15m,1h 54m,1,2888.32,2635.0,3,100.0,90
OPT_ROUTE_06,FASTEST ⚡,1,22643,PATNA EXPRES,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,1,2832.74,2634.0,3,75.0,90
OPT_ROUTE_06,FASTEST ⚡,2,22643,PATNA EXPRES,MKA,BKP,17:45:00,18:18:00,43.0,1h 7m,0h 0m,1,2832.74,2634.0,3,75.0,90
OPT_ROUTE_06,FASTEST ⚡,3,22643,PATNA EXPRES,BKP,PNC,18:20:00,19:18:00,36.0,0h 56m,0h 0m,1,2832.74,2634.0,3,75.0,90
OPT_ROUTE_06,FASTEST ⚡,4,12327,UPASANA EXPR,PNC,PNBE,20:18:00,20:45:00,9.0,0h 14m,1h 0m,0,2832.74,2634.0,3,75.0,90
