Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before
ROUTE_01,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m
ROUTE_01,2,12947,AZIMABAD EXP,NAD,KOTA,04:57:00,07:25:00,221.0,4h 54m,1h 29m
ROUTE_02,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m
ROUTE_02,2,12977,MARU SAGAR E,NAD,KOTA,07:30:00,09:55:00,221.0,4h 54m,4h 2m
ROUTE_03,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m
ROUTE_03,2,15635,DWARKA EXPRE,NAD,KOTA,04:57:00,07:20:00,221.0,4h 54m,1h 29m
ROUTE_04,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m
ROUTE_04,2,22969,OKHA BSB EXP,NAD,KOTA,07:12:00,09:40:00,221.0,4h 54m,3h 44m
ROUTE_05,1,12228,MUMBAI DURON,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m
ROUTE_05,2,12937,GARBHA EXPRE,RTM,KOTA,06:10:00,09:40:00,265.0,5h 53m,4h 20m
ROUTE_06,1,12228,MUMBAI DURON,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m
ROUTE_06,2,15667,GADHIDHAM-KA,RTM,KOTA,03:55:00,07:20:00,266.0,5h 54m,2h 5m
ROUTE_07,1,12228,MUMBAI DURON,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m
ROUTE_07,2,22209,NDLS DURONTO,RTM,KOTA,07:40:00,10:25:00,266.0,5h 54m,5h 50m
ROUTE_08,1,12228,MUMBAI DURON,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m
ROUTE_08,2,22633,NIZAMUDDIN E,RTM,KOTA,04:00:00,07:25:00,266.0,5h 54m,2h 10m
ROUTE_09,1,12919,MALWA EXPRES,UJN,NZM,14:10:00,04:36:00,859.0,15h 37m,0h 0m
ROUTE_09,2,12264,NZM-PUNE DUR,NZM,KOTA,10:55:00,15:20:00,450.0,9h 0m,6h 19m
ROUTE_10,1,12919,MALWA EXPRES,UJN,NZM,14:10:00,04:36:00,859.0,15h 37m,0h 0m
