Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12833,12833 Adi Hwh Exp Running Status,ADI,HWH,00:15:00,13:30:00,2097.0,13h 15m,0h 0m,2026-01-24T09:14:53.961324,data/rappid/12833.json
ROUTE_02,1,11049,11049 Adi Kop Exp Running Status,ADI,PUNE,19:25:00,07:40:00,623.0,12h 15m,0h 0m,2026-01-24T09:14:57.661666,data/rappid/11049.json
ROUTE_02,2,12221,12221 Howrah Duronto Running Status,PUNE,HWH,15:15:00,19:40:00,2026.0,4h 25m,7h 35m,2026-01-24T09:15:27.485348,data/rappid/12221.json
ROUTE_03,1,11049,11049 Adi Kop Exp Running Status,ADI,BH,19:25:00,22:09:00,169.0,2h 44m,0h 0m,2026-01-24T09:14:57.661666,data/rappid/11049.json
ROUTE_03,2,12833,12833 Adi Hwh Exp Running Status,BH,HWH,03:11:00,13:30:00,1928.0,10h 19m,5h 2m,2026-01-24T09:14:53.961324,data/rappid/12833.json
ROUTE_04,1,11092,11092 Pune Bhuj Exp Running Status,ADI,GIMB,08:05:00,13:05:00,301.0,5h 0m,0h 0m,2026-01-24T09:14:59.716225,data/rappid/11092.json
ROUTE_04,2,12937,12937 Hwh Garbha Exp Running Status,GIMB,HWH,17:40:00,13:05:00,2509.0,19h 25m,4h 35m,2026-01-24T09:15:27.607067,data/rappid/12937.json
ROUTE_05,1,12215,12215 Bdts Garib Rath Running Status,ADI,RE,01:30:00,10:50:00,874.0,9h 20m,0h 0m,2026-01-24T09:15:12.920984,data/rappid/12215.json
ROUTE_05,2,12372,JSM HWH SF E,RE,HWH,12:55:00,16:30:00,1550.0,3h 35m,2h 5m,2026-01-24T09:14:55.342246,data/rappid/12372.json
ROUTE_06,1,12473,12473 Sarvodaya Exp Running Status,ADI,MTJ,11:30:00,02:00:00,947.0,14h 30m,0h 0m,2026-01-24T09:14:55.079369,data/rappid/12473.json
ROUTE_06,2,12178,12178 Chambal Express Running Status,MTJ,HWH,04:25:00,06:45:00,1453.0,2h 20m,2h 25m,2026-01-24T09:14:52.051616,data/rappid/12178.json
ROUTE_07,1,12489,12489 Bkn Ddr Exp Running Status,ADI,JU,04:20:00,18:15:00,483.0,13h 55m,0h 0m,2026-01-24T09:14:54.454824,data/rappid/12489.json
ROUTE_07,2,12308,12308 Ju Hwh Sf Exp Running Status,JU,HWH,20:30:00,04:00:00,1805.0,7h 30m,2h 15m,2026-01-24T09:14:55.675143,data/rappid/12308.json
