Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,14709,14709 Hsr Jp Exp Running Status,BKN,KOTA,17:05:00,03:20:00,620.0,10h 15m,0h 0m,2026-01-24T09:15:07.211503,data/rappid/14709.json
ROUTE_02,1,18246,18246 Bkn Bsp Exp Running Status,BKN,KOTA,23:55:00,11:40:00,620.0,11h 45m,0h 0m,2026-01-24T09:15:27.685740,data/rappid/18246.json
ROUTE_03,1,22632,22632 Bkn Mdu Sf Exp Running Status,BKN,KOTA,14:50:00,01:00:00,620.0,10h 10m,0h 0m,2026-01-24T09:15:22.999144,data/rappid/22632.json
ROUTE_04,1,12371,12371 Hwh Bkn Sf Exp Running Status,BKN,ASN,18:30:00,10:47:00,1727.0,16h 17m,0h 0m,2026-01-24T09:15:05.877484,data/rappid/12371.json
ROUTE_04,2,19608,19608 Mdjn Koaa Exp Running Status,ASN,KOTA,12:25:00,02:20:00,1425.0,13h 55m,1h 38m,2026-01-24T09:14:51.402331,data/rappid/19608.json
ROUTE_05,1,12371,12371 Hwh Bkn Sf Exp Running Status,BKN,MGS,18:30:00,17:50:00,1266.0,23h 20m,0h 0m,2026-01-24T09:15:05.877484,data/rappid/12371.json
ROUTE_05,2,12947,12947 Azimabad Exp Running Status,MGS,KOTA,00:57:00,07:25:00,919.0,6h 28m,7h 7m,2026-01-24T09:15:03.535975,data/rappid/12947.json
ROUTE_06,1,12371,12371 Hwh Bkn Sf Exp Running Status,BKN,BSB,18:30:00,19:05:00,1248.0,0h 35m,0h 0m,2026-01-24T09:15:05.877484,data/rappid/12371.json
ROUTE_06,2,22970,22970 Bnrs Okha Sf Ex Running Status,BSB,KOTA,21:55:00,12:00:00,901.0,14h 5m,2h 50m,2026-01-24T09:15:03.521003,data/rappid/22970.json
ROUTE_07,1,12455,DEE- BKN EXP,BKN,JHL,00:00:00,01:43:00,593.0,1h 43m,0h 0m,2026-01-24T09:15:09.363015,data/rappid/12455.json
ROUTE_07,2,19024,19024 Fzr Mmct Janta Running Status,JHL,KOTA,08:36:00,23:15:00,657.0,14h 39m,6h 53m,2026-01-24T09:15:08.016878,data/rappid/19024.json
ROUTE_08,1,12455,DEE- BKN EXP,BKN,SAG,00:00:00,02:21:00,543.0,2h 21m,0h 0m,2026-01-24T09:15:09.363015,data/rappid/12455.json
ROUTE_08,2,19804,19804 Kota Express Running Status,SAG,KOTA,07:17:00,23:50:00,707.0,16h 33m,4h 56m,2026-01-24T09:14:53.301851,data/rappid/19804.json
ROUTE_09,1,12456,BKN-DEE  EXP,BKN,ROK,16:45:00,05:48:00,722.0,13h 3m,0h 0m,2026-01-24T09:15:05.683062,data/rappid/12456.json
ROUTE_09,2,19024,19024 Fzr Mmct Janta Running Status,ROK,KOTA,10:50:00,23:15:00,528.0,12h 25m,5h 2m,2026-01-24T09:15:08.016878,data/rappid/19024.json
ROUTE_10,1,12456,BKN-DEE  EXP,BKN,SAG,16:45:00,03:00:00,542.0,10h 15m,0h 0m,2026-01-24T09:15:05.683062,data/rappid/12456.json
ROUTE_10,2,19804,19804 Kota Express Running Status,SAG,KOTA,07:17:00,23:50:00,707.0,16h 33m,4h 17m,2026-01-24T09:14:53.301851,data/rappid/19804.json
ROUTE_11,1,12468,12468 Leelan Sf Exp Running Status,BKN,FL,23:15:00,17:08:00,327.0,17h 53m,0h 0m,2026-01-24T09:14:56.450864,data/rappid/12468.json
ROUTE_11,2,18208,18208 Aii Durg Exp Running Status,FL,KOTA,20:42:00,01:35:00,294.0,4h 53m,3h 34m,2026-01-24T09:14:58.572716,data/rappid/18208.json
ROUTE_12,1,12468,12468 Leelan Sf Exp Running Status,BKN,FL,23:15:00,17:08:00,327.0,17h 53m,0h 0m,2026-01-24T09:14:56.450864,data/rappid/12468.json
ROUTE_12,2,20814,20814 Ju Puri Sf Exp Running Status,FL,KOTA,18:32:00,22:55:00,294.0,4h 23m,1h 24m,2026-01-24T09:15:01.874893,data/rappid/20814.json
