Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),rappid_last_updated,rappid_data_file
ROUTE_01,1,12970,12970 Jaipur Cbe Exp Running Status,CBE,KOTA,18:00:00,22:55:00,2428.0,2511.72,0.0,2026-01-24T09:15:21.375342,data/rappid/12970.json
ROUTE_02,1,22648,22648 Tvcn Krba Sf Exp Running Status,CBE,QLN,15:33:00,07:10:00,358.0,429.6,0.0,2026-01-24T09:15:25.291186,data/rappid/22648.json
ROUTE_02,2,12483,12483 Tvcn Asr Sf Exp Running Status,QLN,KOTA,10:25:00,02:55:00,2329.0,2409.31,195.0,2026-01-24T09:14:53.668818,data/rappid/12483.json
ROUTE_03,1,12970,12970 Jaipur Cbe Exp Running Status,CBE,KOTA,18:00:00,22:55:00,2428.0,2511.72,0.0,2026-01-24T09:15:21.375342,data/rappid/12970.json
ROUTE_04,1,22648,22648 Tvcn Krba Sf Exp Running Status,CBE,QLN,15:33:00,07:10:00,358.0,429.6,0.0,2026-01-24T09:15:25.291186,data/rappid/22648.json
ROUTE_04,2,12483,12483 Tvcn Asr Sf Exp Running Status,QLN,KOTA,10:25:00,02:55:00,2329.0,2409.31,195.0,2026-01-24T09:14:53.668818,data/rappid/12483.json
ROUTE_05,1,11013,11013 Ltt Cbe Express Running Status,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0,2026-01-24T09:15:04.353265,data/rappid/11013.json
ROUTE_05,2,12493,12493 Darshan Express Running Status,PUNE,NZM,05:15:00,05:35:00,1498.0,1498.0,205.0,2026-01-24T09:15:24.756345,data/rappid/12493.json
ROUTE_05,3,12060,12060 Janshatabdi Exp Running Status,NZM,KOTA,13:15:00,20:00:00,450.0,540.0,460.0,2026-01-24T09:15:26.587945,data/rappid/12060.json
ROUTE_06,1,11013,11013 Ltt Cbe Express Running Status,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,0.0,2026-01-24T09:15:04.353265,data/rappid/11013.json
ROUTE_06,2,12493,12493 Darshan Express Running Status,PUNE,NZM,05:15:00,05:35:00,1498.0,1498.0,205.0,2026-01-24T09:15:24.756345,data/rappid/12493.json
