Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12262,12262 Csmt Duronto Ex Running Status,HWH,CSMT,08:20:00,10:30:00,1979.0,2h 10m,0h 0m,2026-01-24T09:15:21.971988,data/rappid/12262.json
ROUTE_02,1,12321,HWH MUMBAI M,HWH,CSMT,22:00:00,11:25:00,2165.0,13h 25m,0h 0m,2026-01-24T09:15:07.118384,data/rappid/12321.json
ROUTE_03,1,12810,12810 Hwh Csmt Mail Running Status,HWH,CSMT,20:15:00,05:20:00,1979.0,9h 5m,0h 0m,2026-01-24T09:15:19.461245,data/rappid/12810.json
ROUTE_04,1,12860,12860 Gitanjali Exp Running Status,HWH,CSMT,13:50:00,21:20:00,1979.0,7h 30m,0h 0m,2026-01-24T09:15:18.531637,data/rappid/12860.json
ROUTE_05,1,12870,12870 Hwh Csmt Sf Exp Running Status,HWH,CSMT,14:35:00,23:15:00,1979.0,8h 40m,0h 0m,2026-01-24T09:14:58.198965,data/rappid/12870.json
ROUTE_06,1,11448,11448 Shaktipunj Exp Running Status,HWH,JBP,13:10:00,14:25:00,1155.0,1h 15m,0h 0m,2026-01-24T09:15:07.726763,data/rappid/11448.json
ROUTE_06,2,11094,11094 Mahanagari Exp Running Status,JBP,CSMT,21:20:00,14:15:00,996.0,16h 55m,6h 55m,2026-01-24T09:14:55.262943,data/rappid/11094.json
ROUTE_07,1,11448,11448 Shaktipunj Exp Running Status,HWH,JBP,13:10:00,14:25:00,1155.0,1h 15m,0h 0m,2026-01-24T09:15:07.726763,data/rappid/11448.json
ROUTE_07,2,12187,12187 Garibrath Exp Running Status,JBP,CSMT,19:30:00,12:15:00,996.0,16h 45m,5h 5m,2026-01-24T09:14:53.912751,data/rappid/12187.json
ROUTE_08,1,11448,11448 Shaktipunj Exp Running Status,HWH,DGR,13:10:00,15:11:00,157.0,2h 1m,0h 0m,2026-01-24T09:15:07.726763,data/rappid/11448.json
ROUTE_08,2,12321,HWH MUMBAI M,DGR,CSMT,00:07:00,11:25:00,2008.0,11h 18m,8h 56m,2026-01-24T09:15:07.118384,data/rappid/12321.json
ROUTE_09,1,11448,11448 Shaktipunj Exp Running Status,HWH,ASN,13:10:00,15:51:00,199.0,2h 41m,0h 0m,2026-01-24T09:15:07.726763,data/rappid/11448.json
ROUTE_09,2,12361,12361 Asn Csmt Exp Running Status,ASN,CSMT,19:45:00,06:15:00,2043.0,10h 30m,3h 54m,2026-01-24T09:15:27.093840,data/rappid/12361.json
ROUTE_10,1,12021,12021 Bbn Janshatabdi Running Status,HWH,KGP,06:20:00,08:00:00,116.0,1h 40m,0h 0m,2026-01-24T09:15:07.717178,data/rappid/12021.json
ROUTE_10,2,12860,12860 Gitanjali Exp Running Status,KGP,CSMT,15:35:00,21:20:00,1863.0,5h 45m,7h 35m,2026-01-24T09:15:18.531637,data/rappid/12860.json
ROUTE_11,1,12021,12021 Bbn Janshatabdi Running Status,HWH,TATA,06:20:00,09:55:00,254.0,3h 35m,0h 0m,2026-01-24T09:15:07.717178,data/rappid/12021.json
ROUTE_11,2,12262,12262 Csmt Duronto Ex Running Status,TATA,CSMT,11:48:00,10:30:00,1725.0,22h 42m,1h 53m,2026-01-24T09:15:21.971988,data/rappid/12262.json
ROUTE_12,1,12023,12023 Janshatabdi Exp Running Status,HWH,CRJ,14:05:00,17:06:00,224.0,3h 1m,0h 0m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_12,2,12361,12361 Asn Csmt Exp Running Status,CRJ,CSMT,20:10:00,06:15:00,2019.0,10h 5m,3h 4m,2026-01-24T09:15:27.093840,data/rappid/12361.json
