Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_01,2,12472,12472 Swaraj Express Running Status,SWM,KOTA,02:29:00,03:45:00,108.0,2h 50m,5h 34m,2026-01-24T09:14:53.597493,data/rappid/12472.json
ROUTE_02,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_02,2,12474,12474 Sarvodaya Exp Running Status,SWM,KOTA,02:29:00,03:45:00,108.0,2h 50m,5h 34m,2026-01-24T09:15:16.058362,data/rappid/12474.json
ROUTE_03,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_03,2,12476,12476 Svdk Hapa Exp Running Status,SWM,KOTA,02:29:00,03:45:00,108.0,2h 50m,5h 34m,2026-01-24T09:15:11.374812,data/rappid/12476.json
ROUTE_04,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_04,2,12478,12478 Svdk Jam Exp Running Status,SWM,KOTA,02:29:00,03:45:00,108.0,2h 50m,5h 34m,2026-01-24T09:15:15.716642,data/rappid/12478.json
ROUTE_05,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_05,2,12912,12912 Valsad Sf Exp Running Status,SWM,KOTA,04:50:00,06:10:00,108.0,2h 50m,7h 55m,2026-01-24T09:15:06.915332,data/rappid/12912.json
ROUTE_06,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_06,2,12926,12926 Paschim Express Running Status,SWM,KOTA,22:05:00,23:30:00,107.0,2h 48m,1h 10m,2026-01-24T09:15:23.218306,data/rappid/12926.json
ROUTE_07,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_07,2,12974,12974 Jp Indb Sf Exp Running Status,SWM,KOTA,23:15:00,00:30:00,108.0,2h 50m,2h 20m,2026-01-24T09:15:06.416209,data/rappid/12974.json
ROUTE_08,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_08,2,12980,12980 Jp Bdts Exp Running Status,SWM,KOTA,22:45:00,00:05:00,108.0,2h 50m,1h 50m,2026-01-24T09:14:57.042127,data/rappid/12980.json
ROUTE_09,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_09,2,14709,14709 Hsr Jp Exp Running Status,SWM,KOTA,02:05:00,03:20:00,107.0,2h 48m,5h 10m,2026-01-24T09:15:07.211503,data/rappid/14709.json
ROUTE_10,1,12240,12240 Mmct Duronto Exp Running Status,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,2026-01-24T09:14:56.233776,data/rappid/12240.json
ROUTE_10,2,15636,15636 Ghy Okha Exp Running Status,SWM,KOTA,04:50:00,06:15:00,107.0,2h 48m,7h 55m,2026-01-24T09:14:52.743544,data/rappid/15636.json
