Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12976,12976 Jp Mysore Exp Running Status,JP,SBC,19:35:00,12:50:00,2345.0,17h 15m,0h 0m,2026-01-24T09:15:16.922511,data/rappid/12976.json
ROUTE_02,1,11203,11203 Ngp Jaipur Exp Running Status,JP,PAR,14:05:00,13:22:00,1237.0,23h 17m,0h 0m,2026-01-24T09:15:27.571639,data/rappid/11203.json
ROUTE_02,2,12296,12296 Sangha Mitra Ex Running Status,PAR,SBC,15:55:00,20:20:00,1553.0,4h 25m,2h 33m,2026-01-24T09:15:26.489938,data/rappid/12296.json
ROUTE_03,1,11203,11203 Ngp Jaipur Exp Running Status,JP,PAR,14:05:00,13:22:00,1237.0,23h 17m,0h 0m,2026-01-24T09:15:27.571639,data/rappid/11203.json
ROUTE_03,2,12577,12577 Bagmati Exp Running Status,PAR,SBC,16:23:00,20:40:00,1553.0,4h 17m,3h 1m,2026-01-24T09:15:20.023046,data/rappid/12577.json
ROUTE_04,1,11203,11203 Ngp Jaipur Exp Running Status,JP,ET,14:05:00,16:45:00,1043.0,2h 40m,0h 0m,2026-01-24T09:15:27.571639,data/rappid/11203.json
ROUTE_04,2,16229,16229 Mys Bsb Exp Running Status,ET,SBC,21:35:00,09:55:00,1795.0,12h 20m,4h 50m,2026-01-24T09:15:27.370900,data/rappid/16229.json
ROUTE_05,1,12181,12181 Dayodai Exp Running Status,JP,KTE,12:00:00,21:30:00,799.0,9h 30m,0h 0m,2026-01-24T09:15:22.320069,data/rappid/12181.json
ROUTE_05,2,12578,12578 Bagmati Exp Running Status,KTE,SBC,23:10:00,09:55:00,2088.0,10h 45m,1h 40m,2026-01-24T09:15:01.562058,data/rappid/12578.json
ROUTE_06,1,12181,12181 Dayodai Exp Running Status,JP,KTE,12:00:00,21:30:00,799.0,9h 30m,0h 0m,2026-01-24T09:15:22.320069,data/rappid/12181.json
ROUTE_06,2,16229,16229 Mys Bsb Exp Running Status,KTE,SBC,02:40:00,09:55:00,2130.0,7h 15m,5h 10m,2026-01-24T09:15:27.370900,data/rappid/16229.json
ROUTE_07,1,12182,12182 Dayodai Exp Running Status,JP,DPA,17:35:00,17:41:00,7.0,0h 6m,0h 0m,2026-01-24T09:15:04.036562,data/rappid/12182.json
