Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12232,12232 Cdg Lko Express Running Status,LKO,UMB,08:50:00,21:50:00,599.0,10h 53m,0h 0m,2026-01-24T09:14:52.883436,data/rappid/12232.json
ROUTE_01,2,12312,12312 Netaji Express Running Status,UMB,HWH,02:20:00,07:55:00,1631.0,27h 11m,4h 30m,2026-01-24T09:15:02.272232,data/rappid/12312.json
ROUTE_01,3,22878,22878 Ers Hwh Suf Exp Running Status,HWH,PGT,14:50:00,03:07:00,2143.0,36h 56m,6h 55m,2026-01-24T09:15:01.140975,data/rappid/22878.json
ROUTE_02,1,12236,12236 Madhupur Humsfr Running Status,LKO,BSB,17:35:00,22:15:00,276.0,6h 8m,0h 0m,2026-01-24T09:14:55.026982,data/rappid/12236.json
ROUTE_02,2,12561,12561 Swatantra S Exp Running Status,BSB,GYN,00:40:00,01:38:00,60.0,1h 34m,2h 25m,2026-01-24T09:15:21.190190,data/rappid/12561.json
ROUTE_02,3,16359,16359 Ers Patna Exp Running Status,GYN,PGT,02:50:00,02:00:00,2552.0,44h 0m,1h 12m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_03,1,12539,12539 Ypr Lko Exp Running Status,LKO,BWT,00:00:00,12:04:00,2475.0,42h 40m,0h 0m,2026-01-24T09:15:04.237398,data/rappid/12539.json
ROUTE_03,2,12540,12540 Lko Ypr Exp Running Status,BWT,YPR,14:10:00,16:40:00,73.0,1h 55m,2h 6m,2026-01-24T09:14:55.538273,data/rappid/12540.json
ROUTE_03,3,16527,16527 Ypr Kannur Exp Running Status,YPR,PGT,20:00:00,04:40:00,436.0,8h 43m,3h 20m,2026-01-24T09:15:09.931729,data/rappid/16527.json
ROUTE_04,1,12539,12539 Ypr Lko Exp Running Status,LKO,BWT,00:00:00,12:04:00,2475.0,42h 40m,0h 0m,2026-01-24T09:15:04.237398,data/rappid/12539.json
ROUTE_04,2,12540,12540 Lko Ypr Exp Running Status,BWT,YPR,14:10:00,16:40:00,73.0,1h 55m,2h 6m,2026-01-24T09:14:55.538273,data/rappid/12540.json
ROUTE_04,3,16565,16565 Ypr Maq Exp Running Status,YPR,PGT,23:55:00,10:30:00,483.0,9h 39m,7h 15m,2026-01-24T09:15:02.909579,data/rappid/16565.json
ROUTE_05,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
ROUTE_05,2,12522,12522 Raptisagar Exp Running Status,GD,IJK,12:25:00,11:13:00,2836.0,48h 53m,4h 45m,2026-01-24T09:14:56.749618,data/rappid/12522.json
ROUTE_05,3,16382,16382 Cape Pune Exp Running Status,IJK,TCR,14:51:00,15:22:00,24.0,0h 37m,3h 38m,2026-01-24T09:15:25.786382,data/rappid/16382.json
ROUTE_05,4,12258,12258 Tvcn Ypr Gr Exp Running Status,TCR,PGT,22:43:00,00:10:00,76.0,2h 0m,7h 21m,2026-01-24T09:15:07.017506,data/rappid/12258.json
ROUTE_06,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
ROUTE_06,2,12522,12522 Raptisagar Exp Running Status,GD,IJK,12:25:00,11:13:00,2836.0,48h 53m,4h 45m,2026-01-24T09:14:56.749618,data/rappid/12522.json
ROUTE_06,3,16382,16382 Cape Pune Exp Running Status,IJK,TCR,14:51:00,15:22:00,24.0,0h 37m,3h 38m,2026-01-24T09:15:25.786382,data/rappid/16382.json
ROUTE_06,4,12507,12507 Aronai Express Running Status,TCR,PGT,22:43:00,23:45:00,77.0,2h 1m,7h 21m,2026-01-24T09:15:27.320097,data/rappid/12507.json
ROUTE_07,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
ROUTE_07,2,12522,12522 Raptisagar Exp Running Status,GD,IJK,12:25:00,11:13:00,2836.0,48h 53m,4h 45m,2026-01-24T09:14:56.749618,data/rappid/12522.json
ROUTE_07,3,16382,16382 Cape Pune Exp Running Status,IJK,TCR,14:51:00,15:22:00,24.0,0h 37m,3h 38m,2026-01-24T09:15:25.786382,data/rappid/16382.json
ROUTE_07,4,12624,12624 Tvc Mas Sf Mail Running Status,TCR,PGT,20:43:00,22:00:00,77.0,2h 1m,5h 21m,2026-01-24T09:14:55.342246,data/rappid/12624.json
ROUTE_08,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
ROUTE_08,2,12522,12522 Raptisagar Exp Running Status,GD,IJK,12:25:00,11:13:00,2836.0,48h 53m,4h 45m,2026-01-24T09:14:56.749618,data/rappid/12522.json
ROUTE_08,3,16382,16382 Cape Pune Exp Running Status,IJK,TCR,14:51:00,15:22:00,24.0,0h 37m,3h 38m,2026-01-24T09:15:25.786382,data/rappid/16382.json
ROUTE_08,4,12643,12643 Tvc Nzm Sf Exp Running Status,TCR,PGT,20:10:00,21:25:00,77.0,2h 1m,4h 48m,2026-01-24T09:14:58.606761,data/rappid/12643.json
ROUTE_09,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
ROUTE_09,2,12522,12522 Raptisagar Exp Running Status,GD,IJK,12:25:00,11:13:00,2836.0,48h 53m,4h 45m,2026-01-24T09:14:56.749618,data/rappid/12522.json
ROUTE_09,3,16382,16382 Cape Pune Exp Running Status,IJK,TCR,14:51:00,15:22:00,24.0,0h 37m,3h 38m,2026-01-24T09:15:25.786382,data/rappid/16382.json
ROUTE_09,4,12645,12645 Millennium Exp Running Status,TCR,PGT,20:10:00,21:25:00,76.0,2h 0m,4h 48m,2026-01-24T09:15:20.041221,data/rappid/12645.json
ROUTE_10,1,11111,11111 Gd Sushasan Exp Running Status,LKO,GD,05:10:00,07:40:00,117.0,3h 4m,0h 0m,2026-01-24T09:15:16.790353,data/rappid/11111.json
