Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12218,12218 Kerla S Kranti Running Status,NDLS,KOTA,13:40:00,19:45:00,457.0,6h 5m,0h 0m,2026-01-24T09:15:21.073570,data/rappid/12218.json
ROUTE_02,1,12449,12449 Goa Smprk K Running Status,NDLS,KOTA,18:25:00,10:00:00,455.0,15h 35m,0h 0m,2026-01-24T09:15:06.510671,data/rappid/12449.json
ROUTE_03,1,12450,12450 Goa Smprk Krant Running Status,NDLS,KOTA,06:15:00,13:10:00,457.0,6h 55m,0h 0m,2026-01-24T09:14:51.983582,data/rappid/12450.json
ROUTE_04,1,12472,12472 Swaraj Express Running Status,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,2026-01-24T09:14:53.597493,data/rappid/12472.json
ROUTE_05,1,12474,12474 Sarvodaya Exp Running Status,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,2026-01-24T09:15:16.058362,data/rappid/12474.json
ROUTE_06,1,12476,12476 Svdk Hapa Exp Running Status,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,2026-01-24T09:15:11.374812,data/rappid/12476.json
ROUTE_07,1,12478,12478 Svdk Jam Exp Running Status,NDLS,KOTA,21:50:00,03:45:00,457.0,5h 55m,0h 0m,2026-01-24T09:15:15.716642,data/rappid/12478.json
ROUTE_08,1,12484,12484 Asr Kcvl Sf Exp Running Status,NDLS,KOTA,13:40:00,19:40:00,457.0,6h 0m,0h 0m,2026-01-24T09:14:58.889574,data/rappid/12484.json
ROUTE_09,1,12926,12926 Paschim Express Running Status,NDLS,KOTA,16:45:00,23:30:00,457.0,6h 45m,0h 0m,2026-01-24T09:15:23.218306,data/rappid/12926.json
ROUTE_10,1,12952,12952 Mmct Tejas Raj Running Status,NDLS,KOTA,16:25:00,21:00:00,457.0,4h 35m,0h 0m,2026-01-24T09:14:54.630222,data/rappid/12952.json
ROUTE_11,1,19024,19024 Fzr Mmct Janta Running Status,NDLS,KOTA,13:30:00,23:15:00,457.0,9h 45m,0h 0m,2026-01-24T09:15:08.016878,data/rappid/19024.json
ROUTE_12,1,19804,19804 Kota Express Running Status,NDLS,KOTA,14:15:00,23:50:00,457.0,9h 35m,0h 0m,2026-01-24T09:14:53.301851,data/rappid/19804.json
ROUTE_13,1,19806,19806 Uhp Kota Exp Running Status,NDLS,KOTA,03:40:00,11:10:00,457.0,7h 30m,0h 0m,2026-01-24T09:15:21.667288,data/rappid/19806.json
ROUTE_14,1,22210,22210 Mmct Duronto Running Status,NDLS,KOTA,23:25:00,04:15:00,457.0,4h 50m,0h 0m,2026-01-24T09:15:07.425871,data/rappid/22210.json
ROUTE_15,1,11057,AMRITSAR EXP,NDLS,KKDE,04:30:00,07:52:00,157.0,3h 22m,0h 0m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_15,2,12926,12926 Paschim Express Running Status,KKDE,KOTA,13:40:00,23:30:00,614.0,9h 50m,5h 48m,2026-01-24T09:15:23.218306,data/rappid/12926.json
ROUTE_16,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_16,2,12218,12218 Kerla S Kranti Running Status,UMB,KOTA,10:20:00,19:45:00,655.0,9h 25m,1h 0m,2026-01-24T09:15:21.073570,data/rappid/12218.json
ROUTE_17,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_17,2,12484,12484 Asr Kcvl Sf Exp Running Status,UMB,KOTA,10:20:00,19:40:00,655.0,9h 20m,1h 0m,2026-01-24T09:14:58.889574,data/rappid/12484.json
ROUTE_18,1,11057,AMRITSAR EXP,NDLS,JRC,04:30:00,14:43:00,419.0,10h 13m,0h 0m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_18,2,22941,22941 Indb Mctm Exp Running Status,JRC,KOTA,21:28:00,06:10:00,827.0,8h 42m,6h 45m,2026-01-24T09:14:51.689498,data/rappid/22941.json
ROUTE_19,1,11057,AMRITSAR EXP,NDLS,ASR,04:30:00,16:30:00,502.0,12h 0m,0h 0m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_19,2,12904,12904 Golden Temple M Running Status,ASR,KOTA,21:25:00,14:20:00,968.0,16h 55m,4h 55m,2026-01-24T09:14:54.167064,data/rappid/12904.json
ROUTE_20,1,11058,11058 Asr Csmt Exp Running Status,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_20,2,12284,12284 Nzm Ers Duronto Running Status,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,2026-01-24T09:15:22.930608,data/rappid/12284.json
ROUTE_21,1,11058,11058 Asr Csmt Exp Running Status,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_21,2,12494,12494 Darshan Express Running Status,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,2026-01-24T09:15:27.531255,data/rappid/12494.json
ROUTE_22,1,11058,11058 Asr Csmt Exp Running Status,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_22,2,12908,12908 Mhrst Smprk K Ex Running Status,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,2026-01-24T09:14:56.363887,data/rappid/12908.json
ROUTE_23,1,11058,11058 Asr Csmt Exp Running Status,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_23,2,12912,12912 Valsad Sf Exp Running Status,NZM,KOTA,23:35:00,06:10:00,451.0,6h 35m,2h 32m,2026-01-24T09:15:06.915332,data/rappid/12912.json
ROUTE_24,1,11058,11058 Asr Csmt Exp Running Status,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_24,2,12917,12917 Gujrat S Kranti Running Status,NZM,KOTA,00:00:00,02:55:00,448.0,2h 55m,2h 57m,2026-01-24T09:14:52.949689,data/rappid/12917.json
ROUTE_25,1,11058,11058 Asr Csmt Exp Running Status,NDLS,PWL,20:45:00,22:28:00,54.0,1h 43m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_25,2,19020,19020 Hw Bdts Exp Running Status,PWL,KOTA,23:38:00,07:35:00,403.0,7h 57m,1h 10m,2026-01-24T09:15:10.514349,data/rappid/19020.json
ROUTE_26,1,11058,11058 Asr Csmt Exp Running Status,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_26,2,19806,19806 Uhp Kota Exp Running Status,MTJ,KOTA,06:20:00,11:10:00,320.0,4h 50m,6h 45m,2026-01-24T09:15:21.667288,data/rappid/19806.json
ROUTE_27,1,11058,11058 Asr Csmt Exp Running Status,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
