Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12616,12616 Grand Trunk Exp Running Status,NDLS,MAS,18:40:00,06:20:00,2163.0,11h 40m,0h 0m,2026-01-24T09:15:24.498296,data/rappid/12616.json
ROUTE_02,1,12622,12622 Tamilnadu Exp Running Status,NDLS,MAS,22:30:00,07:10:00,2163.0,8h 40m,0h 0m,2026-01-24T09:14:58.539597,data/rappid/12622.json
ROUTE_03,1,16032,16032 Andaman Express Running Status,NDLS,MAS,14:15:00,10:20:00,2187.0,20h 5m,0h 0m,2026-01-24T09:15:26.939461,data/rappid/16032.json
ROUTE_04,1,11058,11058 Asr Csmt Exp Running Status,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_04,2,12969,12969 Cbe Jp Sf Exp Running Status,ET,MAS,16:00:00,17:10:00,1390.0,1h 10m,2h 45m,2026-01-24T09:15:23.672446,data/rappid/12969.json
ROUTE_05,1,11058,11058 Asr Csmt Exp Running Status,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_05,2,12295,12295 Sanghamitra Exp Running Status,ET,MAS,14:45:00,15:15:00,1389.0,0h 30m,1h 30m,2026-01-24T09:15:02.007043,data/rappid/12295.json
ROUTE_06,1,11058,11058 Asr Csmt Exp Running Status,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_06,2,12578,12578 Bagmati Exp Running Status,ET,MAS,16:55:00,15:55:00,1391.0,23h 0m,3h 40m,2026-01-24T09:15:01.562058,data/rappid/12578.json
ROUTE_07,1,11058,11058 Asr Csmt Exp Running Status,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
ROUTE_07,2,12670,12670 Gangakaveri Exp Running Status,ET,MAS,14:40:00,14:25:00,1387.0,23h 45m,1h 25m,2026-01-24T09:15:23.837294,data/rappid/12670.json
ROUTE_08,1,11058,11058 Asr Csmt Exp Running Status,NDLS,ET,20:45:00,13:15:00,777.0,16h 30m,0h 0m,2026-01-24T09:15:08.820007,data/rappid/11058.json
