Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_01,2,12431,12431 Rajdhani Exp Running Status,BRC,KOTA,00:24:00,06:45:00,528.0,9h 36m,4h 53m,2026-01-24T09:14:57.373707,data/rappid/12431.json
ROUTE_02,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_02,2,12449,12449 Goa Smprk K Running Status,BRC,KOTA,02:21:00,10:00:00,527.0,9h 34m,6h 50m,2026-01-24T09:15:06.510671,data/rappid/12449.json
ROUTE_03,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_03,2,12907,12907 Bdts Smprk K Ex Running Status,BRC,KOTA,23:12:00,06:20:00,527.0,9h 34m,3h 41m,2026-01-24T09:15:10.399979,data/rappid/12907.json
ROUTE_04,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,26h 38m,0h 0m,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_04,2,22413,22413 Mao Nzm Rajdhani Running Status,BRC,KOTA,00:24:00,06:45:00,527.0,9h 34m,4h 53m,2026-01-24T09:15:06.699469,data/rappid/22413.json
ROUTE_05,1,22837,22837 Dharti Abba Exp Running Status,PGT,ERS,07:55:00,10:55:00,150.0,3h 56m,0h 0m,2026-01-24T09:15:08.307954,data/rappid/22837.json
ROUTE_05,2,12284,12284 Nzm Ers Duronto Running Status,ERS,KOTA,15:40:00,03:00:00,2184.0,37h 39m,4h 45m,2026-01-24T09:15:22.930608,data/rappid/12284.json
