Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),rappid_last_updated,rappid_data_file
ROUTE_01,1,12257,12257 Ypr Tvcn Gr Exp Running Status,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0,2026-01-24T09:15:02.109346,data/rappid/12257.json
ROUTE_01,2,12626,12626 Kerala Express Running Status,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0,2026-01-24T09:14:54.370208,data/rappid/12626.json
ROUTE_01,3,22415,22415 Vande Bharat Exp Running Status,AGC,NDLS,15:45:00,19:05:00,188.0,250.67,100.0,2026-01-24T09:14:55.022132,data/rappid/22415.json
ROUTE_02,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_02,2,12431,12431 Rajdhani Exp Running Status,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0,2026-01-24T09:14:57.373707,data/rappid/12431.json
ROUTE_02,3,19803,19803 Kota Svdk Exp Running Status,KOTA,NDLS,14:30:00,23:00:00,455.0,546.0,465.0,2026-01-24T09:15:01.376711,data/rappid/19803.json
ROUTE_03,1,22476,22476 Cbe Hsr Ac Exp Running Status,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0,2026-01-24T09:14:59.842907,data/rappid/22476.json
ROUTE_03,2,12431,12431 Rajdhani Exp Running Status,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0,2026-01-24T09:14:57.373707,data/rappid/12431.json
ROUTE_03,3,22209,22209 Nzm Duronto Running Status,KOTA,NDLS,10:30:00,16:30:00,455.0,546.0,225.0,2026-01-24T09:14:58.766686,data/rappid/22209.json
ROUTE_04,1,12257,12257 Ypr Tvcn Gr Exp Running Status,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0,2026-01-24T09:15:02.109346,data/rappid/12257.json
ROUTE_04,2,12218,12218 Kerla S Kranti Running Status,TCR,ERS,08:43:00,10:20:00,73.0,115.26,128.0,2026-01-24T09:15:21.073570,data/rappid/12218.json
ROUTE_04,3,12284,12284 Nzm Ers Duronto Running Status,ERS,KOTA,15:40:00,03:00:00,2184.0,2259.31,320.0,2026-01-24T09:15:22.930608,data/rappid/12284.json
