Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12258,12258 Tvcn Ypr Gr Exp Running Status,PGT,CBE,00:15:00,01:37:00,55.0,1h 26m,0h 0m,2026-01-24T09:15:07.017506,data/rappid/12258.json
ROUTE_01,2,22475,22475 Hsr Cbe Ac Exp Running Status,CBE,MTD,02:50:00,09:35:00,2305.0,39h 44m,1h 13m,2026-01-24T09:15:09.203289,data/rappid/22475.json
ROUTE_01,3,15623,15623 Bgkt Kyq Exp Running Status,MTD,PNBE,17:28:00,02:40:00,1557.0,25h 57m,7h 53m,2026-01-24T09:15:11.573690,data/rappid/15623.json
ROUTE_02,1,13352,13352 Allp Dhn Express Running Status,PGT,MURI,10:40:00,10:08:00,2213.0,38h 9m,0h 0m,2026-01-24T09:14:52.424828,data/rappid/13352.json
ROUTE_02,2,13319,BDME-RNC EXP,MURI,JSME,11:34:00,04:55:00,260.0,5h 46m,1h 26m,2026-01-24T09:15:19.691235,data/rappid/13319.json
ROUTE_02,3,12273,12273 Ndls Duronto Ex Running Status,JSME,PNBE,12:27:00,16:30:00,221.0,4h 54m,7h 32m,2026-01-24T09:14:55.538273,data/rappid/12273.json
ROUTE_03,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_03,2,12354,12354 Lku Hwh Sf Exp Running Status,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m,2026-01-24T09:15:20.889983,data/rappid/12354.json
ROUTE_03,3,12350,12350 Goda Humsafar Running Status,MGS,PNBE,11:58:00,14:40:00,208.0,4h 37m,3h 43m,2026-01-24T09:15:05.349213,data/rappid/12350.json
ROUTE_04,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_04,2,12354,12354 Lku Hwh Sf Exp Running Status,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m,2026-01-24T09:15:20.889983,data/rappid/12354.json
ROUTE_04,3,12546,12546 Karmabhoomi Ex Running Status,MGS,PNBE,12:23:00,15:35:00,208.0,4h 37m,4h 8m,2026-01-24T09:15:00.739106,data/rappid/12546.json
ROUTE_05,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_05,2,12354,12354 Lku Hwh Sf Exp Running Status,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m,2026-01-24T09:15:20.889983,data/rappid/12354.json
ROUTE_05,3,15548,15548 Raxaul Antyodaya Running Status,MGS,PNBE,12:28:00,15:35:00,208.0,4h 37m,4h 13m,2026-01-24T09:15:24.235295,data/rappid/15548.json
ROUTE_06,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_06,2,12354,12354 Lku Hwh Sf Exp Running Status,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m,2026-01-24T09:15:20.889983,data/rappid/12354.json
ROUTE_06,3,19313,19313 Indb Pnbe Exp Running Status,MGS,PNBE,12:38:00,16:55:00,208.0,4h 37m,4h 23m,2026-01-24T09:15:20.276984,data/rappid/19313.json
ROUTE_07,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_07,2,12354,12354 Lku Hwh Sf Exp Running Status,BSB,MGS,07:20:00,08:15:00,18.0,0h 28m,2h 35m,2026-01-24T09:15:20.889983,data/rappid/12354.json
ROUTE_07,3,19321,19321 Indb Pnbe Exp Running Status,MGS,PNBE,12:38:00,16:55:00,207.0,4h 36m,4h 23m,2026-01-24T09:14:59.442884,data/rappid/19321.json
ROUTE_08,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_08,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_08,3,12350,12350 Goda Humsafar Running Status,MGS,PNBE,11:58:00,14:40:00,208.0,4h 37m,6h 20m,2026-01-24T09:15:05.349213,data/rappid/12350.json
ROUTE_09,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_09,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_09,3,12546,12546 Karmabhoomi Ex Running Status,MGS,PNBE,12:23:00,15:35:00,208.0,4h 37m,6h 45m,2026-01-24T09:15:00.739106,data/rappid/12546.json
ROUTE_10,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_10,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_10,3,13424,13424 Aii Bgp Express Running Status,MGS,PNBE,08:23:00,11:40:00,208.0,4h 37m,2h 45m,2026-01-24T09:15:21.424387,data/rappid/13424.json
ROUTE_11,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_11,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_11,3,15548,15548 Raxaul Antyodaya Running Status,MGS,PNBE,12:28:00,15:35:00,208.0,4h 37m,6h 50m,2026-01-24T09:15:24.235295,data/rappid/15548.json
ROUTE_12,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_12,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_12,3,19313,19313 Indb Pnbe Exp Running Status,MGS,PNBE,12:38:00,16:55:00,208.0,4h 37m,7h 0m,2026-01-24T09:15:20.276984,data/rappid/19313.json
ROUTE_13,1,16359,16359 Ers Patna Exp Running Status,PGT,BSB,02:05:00,04:45:00,2611.0,45h 1m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_13,2,16359,16359 Ers Patna Exp Running Status,BSB,MGS,04:55:00,05:38:00,19.0,0h 30m,0h 0m,2026-01-24T09:15:19.743568,data/rappid/16359.json
ROUTE_13,3,19321,19321 Indb Pnbe Exp Running Status,MGS,PNBE,12:38:00,16:55:00,207.0,4h 36m,7h 0m,2026-01-24T09:14:59.442884,data/rappid/19321.json
ROUTE_14,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_14,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_14,3,12023,12023 Janshatabdi Exp Running Status,PNC,PNBE,21:45:00,22:45:00,9.0,0h 14m,0h 0m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_15,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_15,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_15,3,12333,12333 Vibhuti Express Running Status,PNC,PNBE,03:35:00,04:00:00,9.0,0h 14m,5h 52m,2026-01-24T09:14:54.014949,data/rappid/12333.json
ROUTE_16,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_16,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_16,3,12361,12361 Asn Csmt Exp Running Status,PNC,PNBE,00:08:00,00:35:00,10.0,0h 15m,2h 25m,2026-01-24T09:15:27.093840,data/rappid/12361.json
ROUTE_17,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_17,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_17,3,13005,13005 Hwh Asr Mail Running Status,PNC,PNBE,03:01:00,03:40:00,9.0,0h 14m,5h 18m,2026-01-24T09:15:08.008710,data/rappid/13005.json
ROUTE_18,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_18,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_18,3,13049,13049 Amritsar Exp Running Status,PNC,PNBE,01:24:00,01:55:00,10.0,0h 15m,3h 41m,2026-01-24T09:15:22.641873,data/rappid/13049.json
ROUTE_19,1,22643,22643 Ers Pnbe Sf Exp Running Status,PGT,MKA,20:00:00,17:43:00,2546.0,43h 53m,0h 0m,2026-01-24T09:15:09.643612,data/rappid/22643.json
ROUTE_19,2,12023,12023 Janshatabdi Exp Running Status,MKA,PNC,20:29:00,21:43:00,80.0,2h 6m,2h 46m,2026-01-24T09:15:01.049314,data/rappid/12023.json
ROUTE_19,3,13121,13121 Koaa Gct Expres Running Status,PNC,PNBE,04:49:00,05:15:00,10.0,0h 15m,7h 6m,2026-01-24T09:15:04.851785,data/rappid/13121.json
