Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,12627,12627 Karnataka Exp Running Status,SBC,NDLS,19:20:00,10:30:00,2386.0,15h 10m,0h 0m,2026-01-24T09:15:09.668637,data/rappid/12627.json
ROUTE_02,1,11013,11013 Ltt Cbe Express Running Status,SBC,KYN,22:10:00,23:15:00,1101.0,1h 5m,0h 0m,2026-01-24T09:15:04.353265,data/rappid/11013.json
ROUTE_02,2,11057,AMRITSAR EXP,KYN,NDLS,00:33:00,04:15:00,1471.0,3h 42m,1h 18m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_03,1,11013,11013 Ltt Cbe Express Running Status,SBC,SA,22:10:00,03:35:00,217.0,5h 25m,0h 0m,2026-01-24T09:15:04.353265,data/rappid/11013.json
ROUTE_03,2,16317,16317 Himsagar Exp Running Status,SA,NDLS,04:30:00,21:40:00,2431.0,17h 10m,0h 55m,2026-01-24T09:14:54.771917,data/rappid/16317.json
ROUTE_04,1,11013,11013 Ltt Cbe Express Running Status,SBC,SUR,22:10:00,06:25:00,697.0,8h 15m,0h 0m,2026-01-24T09:15:04.353265,data/rappid/11013.json
ROUTE_04,2,12627,12627 Karnataka Exp Running Status,SUR,NDLS,07:50:00,10:30:00,1689.0,2h 40m,1h 25m,2026-01-24T09:15:09.668637,data/rappid/12627.json
ROUTE_05,1,11301,11301 Udyan Express Running Status,SBC,DD,08:50:00,13:00:00,885.0,4h 10m,0h 0m,2026-01-24T09:14:59.515090,data/rappid/11301.json
ROUTE_05,2,11077,11077 Jhelum Express Running Status,DD,NDLS,18:50:00,21:00:00,1502.0,2h 10m,5h 50m,2026-01-24T09:15:23.423019,data/rappid/11077.json
ROUTE_06,1,11302,UDYAN EXP,SBC,GTL,20:45:00,02:50:00,319.0,6h 5m,0h 0m,2026-01-24T09:15:07.888433,data/rappid/11302.json
ROUTE_06,2,82652,82652 Mas Suvidha Spl Running Status,GTL,NDLS,04:00:00,16:40:00,2062.0,12h 40m,1h 10m,2026-01-24T09:15:25.400412,data/rappid/82652.json
ROUTE_07,1,11302,UDYAN EXP,SBC,CSMT,20:45:00,20:15:00,1154.0,23h 30m,0h 0m,2026-01-24T09:15:07.888433,data/rappid/11302.json
ROUTE_07,2,11057,AMRITSAR EXP,CSMT,NDLS,23:30:00,04:15:00,1524.0,4h 45m,3h 15m,2026-01-24T09:14:58.828682,data/rappid/11057.json
ROUTE_08,1,12008,12008 Shatabdi Exp Running Status,SBC,KPD,16:25:00,19:23:00,232.0,2h 58m,0h 0m,2026-01-24T09:15:09.778822,data/rappid/12008.json
ROUTE_08,2,12625,12625 Kerala Sf Exp Running Status,KPD,NDLS,02:02:00,13:45:00,2224.0,11h 43m,6h 39m,2026-01-24T09:14:58.786189,data/rappid/12625.json
ROUTE_09,1,12008,12008 Shatabdi Exp Running Status,SBC,MAS,16:25:00,21:25:00,361.0,5h 0m,0h 0m,2026-01-24T09:15:09.778822,data/rappid/12008.json
ROUTE_09,2,12621,12621 Tamilnadu Sf Exp Running Status,MAS,NDLS,22:00:00,07:05:00,2163.0,9h 5m,0h 35m,2026-01-24T09:15:11.371620,data/rappid/12621.json
ROUTE_10,1,12008,12008 Shatabdi Exp Running Status,SBC,MAS,16:25:00,21:25:00,361.0,5h 0m,0h 0m,2026-01-24T09:15:09.778822,data/rappid/12008.json
ROUTE_10,2,16031,16031 Andaman Express Running Status,MAS,NDLS,05:15:00,23:00:00,2189.0,17h 45m,7h 50m,2026-01-24T09:15:03.913376,data/rappid/16031.json
ROUTE_11,1,12079,12079 Janshatabdi Exp Running Status,SBC,YPR,06:00:00,06:08:00,5.0,0h 8m,0h 0m,2026-01-24T09:15:23.136155,data/rappid/12079.json
ROUTE_11,2,22685,22685 Cdg Skranti Exp Running Status,YPR,NDLS,13:45:00,13:35:00,2602.0,23h 50m,7h 37m,2026-01-24T09:15:27.091561,data/rappid/22685.json
ROUTE_12,1,12079,12079 Janshatabdi Exp Running Status,SBC,YPR,06:00:00,06:08:00,5.0,0h 8m,0h 0m,2026-01-24T09:15:23.136155,data/rappid/12079.json
ROUTE_12,2,82651,82651 Svdk suvidha Running Status,YPR,NDLS,11:30:00,07:30:00,2557.0,20h 0m,5h 22m,2026-01-24T09:15:02.317576,data/rappid/82651.json
ROUTE_13,1,12079,12079 Janshatabdi Exp Running Status,SBC,ASK,06:00:00,08:30:00,165.0,2h 30m,0h 0m,2026-01-24T09:15:23.136155,data/rappid/12079.json
ROUTE_13,2,82652,82652 Mas Suvidha Spl Running Status,ASK,NDLS,11:20:00,16:40:00,2398.0,5h 20m,2h 50m,2026-01-24T09:15:25.400412,data/rappid/82652.json
ROUTE_14,1,12295,12295 Sanghamitra Exp Running Status,SBC,SEGM,09:00:00,07:12:00,1377.0,22h 12m,0h 0m,2026-01-24T09:15:02.007043,data/rappid/12295.json
ROUTE_14,2,12615,12615 Grand Trunk Exp Running Status,SEGM,NDLS,11:00:00,06:30:00,1147.0,19h 30m,3h 48m,2026-01-24T09:15:24.044135,data/rappid/12615.json
