Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,rappid_last_updated,rappid_data_file
ROUTE_01,1,11102,11102 Gwl Pune Exp Running Status,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,2026-01-24T09:15:28.020605,data/rappid/11102.json
ROUTE_01,2,12947,12947 Azimabad Exp Running Status,NAD,KOTA,04:57:00,07:25:00,221.0,4h 54m,1h 29m,2026-01-24T09:15:03.535975,data/rappid/12947.json
ROUTE_02,1,11102,11102 Gwl Pune Exp Running Status,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,2026-01-24T09:15:28.020605,data/rappid/11102.json
ROUTE_02,2,12977,12977 Marusagar Sf Exp Running Status,NAD,KOTA,07:30:00,09:55:00,221.0,4h 54m,4h 2m,2026-01-24T09:15:05.262476,data/rappid/12977.json
ROUTE_03,1,11102,11102 Gwl Pune Exp Running Status,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,2026-01-24T09:15:28.020605,data/rappid/11102.json
ROUTE_03,2,15635,15635 Guwahati Expres Running Status,NAD,KOTA,04:57:00,07:20:00,221.0,4h 54m,1h 29m,2026-01-24T09:15:26.960197,data/rappid/15635.json
ROUTE_04,1,11102,11102 Gwl Pune Exp Running Status,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,2026-01-24T09:15:28.020605,data/rappid/11102.json
ROUTE_04,2,22969,22969 Okha Bsbs Sf Exp Running Status,NAD,KOTA,07:12:00,09:40:00,221.0,4h 54m,3h 44m,2026-01-24T09:15:04.874156,data/rappid/22969.json
ROUTE_05,1,12228,12228 Mmct Duronto Running Status,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m,2026-01-24T09:14:57.606037,data/rappid/12228.json
ROUTE_05,2,12937,12937 Hwh Garbha Exp Running Status,RTM,KOTA,06:10:00,09:40:00,265.0,5h 53m,4h 20m,2026-01-24T09:15:27.607067,data/rappid/12937.json
ROUTE_06,1,12228,12228 Mmct Duronto Running Status,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m,2026-01-24T09:14:57.606037,data/rappid/12228.json
ROUTE_06,2,15667,15667 Kamakhya Exp Running Status,RTM,KOTA,03:55:00,07:20:00,266.0,5h 54m,2h 5m,2026-01-24T09:14:54.088637,data/rappid/15667.json
ROUTE_07,1,12228,12228 Mmct Duronto Running Status,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m,2026-01-24T09:14:57.606037,data/rappid/12228.json
ROUTE_07,2,22209,22209 Nzm Duronto Running Status,RTM,KOTA,07:40:00,10:25:00,266.0,5h 54m,5h 50m,2026-01-24T09:14:58.766686,data/rappid/22209.json
ROUTE_08,1,12228,12228 Mmct Duronto Running Status,UJN,RTM,00:20:00,01:50:00,100.0,2h 37m,0h 0m,2026-01-24T09:14:57.606037,data/rappid/12228.json
ROUTE_08,2,22633,22633 Tvc Nzm Sf Exp Running Status,RTM,KOTA,04:00:00,07:25:00,266.0,5h 54m,2h 10m,2026-01-24T09:15:15.128098,data/rappid/22633.json
ROUTE_09,1,12919,12919 Malwa Express Running Status,UJN,NZM,14:10:00,04:36:00,859.0,15h 37m,0h 0m,2026-01-24T09:15:02.990509,data/rappid/12919.json
ROUTE_09,2,12264,12264 Pune Durnto Exp Running Status,NZM,KOTA,10:55:00,15:20:00,450.0,9h 0m,6h 19m,2026-01-24T09:15:06.266168,data/rappid/12264.json
